"date","original_series","transformed_series","trend","cycle","cycle_conf_int_lower_bound","cycle_conf_int_upper_bound","trend_conf_int_lower_bound","trend_conf_int_upper_bound"
"1974-09-01","1332.1853168280400","719.4575805664062","718.965136836196","0.4924437302101502","0.25408962428988346","0.7307978361304169","718.7267827302758","719.2034909421163"
"1975-09-01","1276.9882914789700","715.2259521484375","717.4604800931291","-2.2345279446916226","-2.472882050611889","-1.996173838771356","717.2221259872089","717.6988341990494"
"1976-09-01","1258.193698647860","713.7432250976562","716.3642013709473","-2.620976273291017","-2.8593303792112836","-2.3826221673707506","716.125847265027","716.6025554768676"
"1977-09-01","1279.3332371193500","715.409423828125","715.8187933864739","-0.40936955834884675","-0.6477236642691135","-0.17101545242858002","715.5804392805536","716.0571474923942"
"1978-09-01","1294.731707317070","716.6058959960938","715.3628591716532","1.2430368244405086","1.0046827185202418","1.4813909303607753","715.1245050657329","715.6012132775735"
"1979-09-01","1306.6974632254400","717.5258178710938","715.2571540031187","2.2686638679751154","2.0303097620548485","2.5070179738953824","715.0187998971984","715.495508109039"
"1980-09-01","1309.1799500672200","717.7156372070312","715.1889886131632","2.5266485938679737","2.2882944879477067","2.7650026997882406","714.950634507243","715.4273427190835"
"1981-09-01","1311.0373861712400","717.857421875","715.3829431936306","2.47447868136947","2.236124575449203","2.712832787289737","715.1445890877103","715.6212972995509"
"1982-09-01","1308.5258204410500","717.6656494140625","715.5562503172829","2.1093990967796556","1.871044990859389","2.3477532026999226","715.3178962113626","715.7946044232032"
"1983-09-01","1328.0897037158300","719.1497192382812","716.19615553221","2.9535637060712907","2.7152096001510237","3.1919178119915577","715.9578014262897","716.4345096381303"
"1984-09-01","1330.3408970229000","719.3190307617188","716.4522789146381","2.866751847080666","2.6283977411603994","3.1051059530009324","716.2139248087178","716.6906330205584"
"1985-09-01","1225.9972265274500","711.1510009765625","714.3078175210616","-3.156816544499066","-3.395170650419333","-2.918462438578799","714.0694634151413","714.5461716269818"
"1986-09-01","1079.984325646570","698.47021484375","710.0376783430966","-11.56746349934661","-11.805817605266878","-11.329109393426343","709.7993242371763","710.2760324490168"
"1987-09-01","1064.628402955930","697.0380859375","707.3744889312306","-10.336402993730658","-10.574757099650926","-10.098048887810391","707.1361348253104","707.6128430371509"
"1988-09-01","1084.8381801125700","698.9185791015625","704.6393074077811","-5.7207283062186285","-5.959082412138895","-5.482374200298362","704.4009533018608","704.8776615137014"
"1989-09-01","1124.7967479674800","702.5357666015625","703.2419175451151","-0.7061509435526865","-0.9445050494729532","-0.46779683763241975","703.0035634391949","703.4802716510354"
"1990-09-01","1142.8639993018900","704.1292724609375","702.006420831534","2.122851629403454","1.8844975234831873","2.361205735323721","701.7680667256137","702.2447749374543"
"1991-09-01","1141.4122462903000","704.0021362304688","701.2871408521529","2.714995378315801","2.4766412723955344","2.9533494842360675","701.0487867462326","701.5254949580732"
"1992-09-01","1129.1166568146200","702.9190673828125","700.9369648457988","1.9821025370136938","1.743748431093427","2.2204566429339607","700.6986107398785","701.1753189517191"
"1993-09-01","1086.2078433167100","699.0447998046875","699.8157224462307","-0.7709226415431172","-1.009276747463384","-0.5325685356228504","699.5773683403104","700.054076552151"
"1994-09-01","1054.5807231214400","696.08984375","698.5095484807815","-2.419704730781511","-2.6580588367017777","-2.1813506248612446","698.2711943748612","698.7479025867018"
"1995-09-01","1050.8829616448400","695.7385864257812","697.5681198803751","-1.8295334545938384","-2.067887560514105","-1.5911793486735717","697.3297657744548","697.8064739862954"
"1996-09-01","1033.2082551594700","694.0424194335938","696.3170828500593","-2.274663416465526","-2.513017522385793","-2.036309310545259","696.078728744139","696.5554369559795"
"1997-09-01","1044.6891149073400","695.1474609375","695.8512221079558","-0.7037611704557754","-0.9421152763760421","-0.4654070645355086","695.6128680020355","696.0895762138761"
"1998-09-01","1102.8619321502200","700.56640625","696.5270195668393","4.039386683160677","3.8010325772404103","4.277740789080943","696.288665460919","696.7653736727596"
"1999-09-01","1176.1828282754500","707.0029907226562","698.3636238925942","8.639366830062055","8.401012724141788","8.877720935982323","698.1252697866739","698.6019779985145"
"2000-09-01","1257.5134639005500","713.6891479492188","701.5325412885976","12.156606660621096","11.918252554700828","12.394960766541363","701.2941871826773","701.7708953945179"
"2001-09-01","1355.2691586087500","721.175537109375","706.2075830740631","14.967954035311845","12.86084346898959","17.0750646016341","704.1004725077408","708.3146936403854"
"2002-09-01","1449.9678273650300","727.9296875","711.7660180539602","16.163669446039762","16.006879135719483","16.32045975636004","711.60922774364","711.9228083642805"
"2003-09-01","1450.5762530152800","727.9716186523438","716.0956170012487","11.876001651095052","1.7721428620085256","21.97986044018158","705.9917582121622","726.1994757903352"
"2004-09-01","1461.74085181191","728.7383422851562","720.6430688050253","8.095273480130919","3.96578854930495","12.224758410956888","716.5135838741994","724.7725537358513"
"2005-09-01","1479.020153725110","729.9135131835938","724.2616310094331","5.651882174160581","2.14256469302354","9.161199655297622","720.7523135282961","727.7709484905702"
"2006-09-01","1478.366286621450","729.8692626953125","726.939631515287","2.9296311800254884","0.6367448363019439","5.222517523749033","724.6467451715635","729.2325178590106"
"2007-09-01","1511.008774423410","732.0532836914062","729.669331373066","2.383952318340211","-0.2790455920957129","5.046950228776135","727.0063334626301","732.332329283502"
"2008-09-01","1569.5804195804200","735.8563842773438","732.2330059201665","3.623378357177248","2.843110958209836","4.40364575614466","731.4527385211991","733.013273319134"
"2009-09-01","1601.691376659280","737.8815307617188","734.2639116047794","3.617619156939322","3.4811918872460956","3.754046426632548","734.1274843350863","734.4003388744726"
