"date","original_series","trend","cycle","cycle_conf_int_lower_bound","cycle_conf_int_upper_bound","trend_conf_int_lower_bound","trend_conf_int_upper_bound"
"1988-01-01","2.6467","2.898338324181344","-0.2516384187858361","","","",""
"1989-01-01","2.8686","2.9131490556409605","-0.044549163978362685","","","",""
"1990-01-01","2.8680","2.912565298624585","-0.04456526810700664","","","",""
"1991-01-01","2.9423","2.9408663035813847","0.0014337776716669265","","","",""
"1992-01-01","3.1084","2.9847058787966017","0.12369422763345211","","","",""
"1993-01-01","3.5827","3.1208957510942974","0.46180426302008243","","","",""
"1994-01-01","3.6781","3.322688812428661","0.3554112966716808","","","",""
"1995-01-01","3.7827","3.5118092346609444","0.27089082713715146","","","",""
"1996-01-01","4.0991","3.702359186224659","0.39674092669037975","","","",""
"1997-01-01","4.1062","3.8785560338855913","0.22764418431509206","","","",""
"1998-01-01","3.8916","3.987575736961106","-0.09597584339115976","","","",""
"1999-01-01","3.8536","4.0022913597003305","-0.1486913345233285","","","",""
"2000-01-01","3.8871","3.9861818291335385","-0.09908184782555493","","","",""
"2001-01-01","3.8855","3.9797058272153762","-0.09420587299174356","","","",""
"2002-01-01","3.9037","3.9807481380880567","-0.07704802479154797","","","",""
"2003-01-01","3.7857","3.9682729719816345","-0.1825728892027037","","","",""
"2004-01-01","3.7946","3.938359274541721","-0.14375926462350805","","","",""
"2005-01-01","3.7538","3.90949841633043","-0.15569850101670912","","","",""
"2006-01-01","3.8098","3.8831350652302437","-0.0733351556385687","","","",""
"2007-01-01","3.7228","3.870528708418411","-0.14772869201521246","","","",""
"2008-01-01","3.7290","3.8490915630631934","-0.120091471510459","","","",""
"2009-01-01","3.5062","3.8064848120576635","-0.30028473690812757","","","",""
"2010-01-01","3.5328","3.7340718253777463","-0.2012718661950069","","","",""
"2011-01-01","3.7425","3.7061419317810698","0.0363581349761324","","","",""
"2012-01-01","3.7923","3.741933757897508","0.05036622798811234","","","",""
"2013-01-01","3.8575","3.7977287898206384","0.05977128647330674","","","",""
"2014-01-01","3.9426","3.867314650765797","0.07528536105976442","","","",""
"2015-01-01","4.0502","3.939773710566462","0.11042627493768867","","","",""
"2016-01-01","3.9567","4.007395027863481","-0.05069494126985308","","","",""
"2017-01-01","3.9526","4.031305262600908","-0.07870526031208953","","","",""
"2018-01-01","3.8904","4.030308770815551","-0.1399088379542229","","","",""
"2019-01-01","3.8408","4.0040535601489635","-0.16325351322818707","","","",""
"2020-01-01","3.6538","3.9410270557478793","-0.28722704506672697","","","",""
"2021-01-01","3.4839","3.8264056168541627","-0.3425055466637331","","","",""
"2022-01-01","3.4050","3.6850204139482408","-0.28002044255847025","","","",""
"2023-01-01","3.2220","3.5382931498651784","-0.3162932662134451","","","",""
