"date","original_series","transformed_series","trend","cycle","cycle_conf_int_lower_bound","cycle_conf_int_upper_bound","trend_conf_int_lower_bound","trend_conf_int_upper_bound"
"1974-09-01","0.000750646","-719.4576416015625","-718.9651823990296","-0.49245920253290815","-0.7305746036706584","-0.2543438013951579","-719.2032978001673","-718.7270669978918"
"1975-09-01","0.000783093","-715.2258911132812","-717.4604981802773","2.2346070669961455","1.9964916658583953","2.4727224681338957","-717.6986135814151","-717.2223827791396"
"1976-09-01","0.00079479","-713.7432861328125","-716.3642522217999","2.620966088987382","2.382850687849632","2.8590814901251322","-716.6023676229377","-716.1261368206622"
"1977-09-01","0.000781657","-715.409423828125","-715.8188100403225","0.4093862121975731","0.17127081105982286","0.6475016133353233","-716.0569254414603","-715.5806946391848"
"1978-09-01","0.000772361","-716.6058349609375","-715.3628616503147","-1.2429733106227752","-1.4810887117605254","-1.004857909485025","-715.6009770514524","-715.124746249177"
"1979-09-01","0.000765288","-717.5258178710938","-715.2571596553908","-2.268658215703047","-2.506773616840797","-2.0305428145652966","-715.4952750565285","-715.019044254253"
"1980-09-01","0.000763837","-717.7156372070312","-715.1889728388867","-2.526664368144535","-2.7647797692822853","-2.288548967006785","-715.4270882400244","-714.9508574377489"
"1981-09-01","0.000762755","-717.8573608398438","-715.3829045564402","-2.4744562834036117","-2.712571684541362","-2.2363408822658615","-715.6210199575779","-715.1447891553024"
"1982-09-01","0.000764219","-717.6656494140625","-715.5562215546909","-2.109427859371626","-2.3475432605093762","-1.8713124582338758","-715.7943369558286","-715.3181061535531"
"1983-09-01","0.000752961","-719.1497192382812","-716.196117240266","-2.953601998015318","-3.191717399153068","-2.7154865968775677","-716.4342326414037","-715.9580018391282"
"1984-09-01","0.000751687","-719.3190307617188","-716.4522399569327","-2.866790804786138","-3.1049062059238883","-2.628675403648388","-716.6903553580704","-716.2141245557949"
"1985-09-01","0.000815663","-711.1509399414062","-714.3077697867054","3.1568298452992103","2.91871444416146","3.3949452464369605","-714.5458851878432","-714.0696543855677"
"1986-09-01","0.000925939","-698.47021484375","-710.037668680043","11.567453836292948","11.329338435155197","11.8055692374307","-710.2757840811807","-709.7995532789053"
"1987-09-01","0.000939295","-697.0380859375","-707.374491269487","10.336405331987006","10.098289930849255","10.574520733124757","-707.6126066706247","-707.1363758683492"
"1988-09-01","0.000921796","-698.9186401367188","-704.6393349000865","5.720694763367738","5.482579362229988","5.958810164505488","-704.8774503012243","-704.4012194989488"
"1989-09-01","0.00088905","-702.5357055664062","-703.2419292527641","0.7062236863578252","0.46810828522007497","0.9443390874955754","-703.4800446539018","-703.0038138516263"
"1990-09-01","0.000874995","-704.1292114257812","-702.0064204970904","-2.1227909286908293","-2.3609063298285795","-1.884675527553079","-702.2445358982282","-701.7683050959527"
"1991-09-01","0.000876108","-704.0021362304688","-701.2871359814391","-2.7150002490297056","-2.953115650167456","-2.4768848478919554","-701.5252513825768","-701.0490205803013"
"1992-09-01","0.000885648","-702.9190673828125","-700.9369381016451","-1.9821292811674223","-2.2202446823051725","-1.744013880029672","-701.1750535027828","-700.6988227005073"
"1993-09-01","0.000920634","-699.0447998046875","-699.8156938183863","0.7708940136987803","0.5327786125610301","1.0090094148365305","-700.053809219524","-699.5775784172486"
"1994-09-01","0.000948244","-696.08984375","-698.5095250769442","2.4196813269441866","2.1815659258064364","2.657796728081937","-698.747640478082","-698.2714096758065"
"1995-09-01","0.000951581","-695.7385864257812","-697.5680996657325","1.8295132399511598","1.5913978388134096","2.06762864108891","-697.8062150668702","-697.3299842645947"
"1996-09-01","0.000967859","-694.0424194335938","-696.3170745638756","2.2746551302818188","2.0365397291440686","2.512770531419569","-696.5551899650134","-696.0789591627379"
"1997-09-01","0.000957223","-695.1473999023438","-695.8512095044474","0.703809602103705","0.4656942009659548","0.9419250032414552","-696.0893249055852","-695.6130941033097"
"1998-09-01","0.000906732","-700.5663452148438","-696.5269902119803","-4.039355002863416","-4.277470404001166","-3.8012396017256656","-696.7651056131181","-696.2888748108426"
"1999-09-01","0.000850208","-707.0029296875","-698.3635714440818","-8.639358243418151","-8.877473644555902","-8.4012428422804","-698.6016868452195","-698.125456042944"
"2000-09-01","0.00079522","-713.6891479492188","-701.5324882015791","-12.156659747639594","-12.394775148777345","-11.918544346501843","-701.7706036027168","-701.2943728004414"
"2001-09-01","0.000737861","-721.175537109375","-706.2075053546197","-14.968031754755351","-17.074938512705803","-12.861124996804902","-708.3144121125702","-704.1005985966692"
"2002-09-01","0.00068967","-727.9297485351562","-711.765943168597","-16.163805366559266","-16.320581119375404","-16.00702961374313","-711.9227189214131","-711.6091674157809"
"2003-09-01","0.000689381","-727.9716796875","-716.0955389948093","-11.876140692690736","-21.97965292737075","-1.77262845801072","-726.1990512294893","-705.9920267601293"
"2004-09-01","0.000684116","-728.73828125","-720.6429809509609","-8.095300299039133","-12.225356047042101","-3.9652445510361654","-724.7730366989639","-716.512925202958"
"2005-09-01","0.000676123","-729.91357421875","-724.2615857084588","-5.6519885102911696","-9.161399683658177","-2.142577336924163","-727.7709968818258","-720.7521745350919"
"2006-09-01","0.000676422","-729.8693237304688","-726.9396014793261","-2.929722251142584","-5.222767483537922","-0.6366770187472466","-729.2326467117215","-724.6465562469308"
"2007-09-01","0.00066181","-732.05322265625","-729.6692994234378","-2.383923232812168","-5.047289005477593","0.27944253985325673","-732.3326651961032","-727.0059336507724"
"2008-09-01","0.000637113","-735.8563232421875","-732.2329809610469","-3.6233422811406357","-4.403959805397991","-2.84272475688328","-733.0135984853042","-731.4523634367896"
