"date","original_series","trend","cycle","cycle_conf_int_lower_bound","cycle_conf_int_upper_bound","trend_conf_int_lower_bound","trend_conf_int_upper_bound"
"1974-01-01","7.506463158","7.736546786897973","-0.23008373605568844","-0.806168028359346","0.3460005562479691","7.160462494594316","8.31263107920163"
"1975-01-01","7.830925363","7.72884931643313","0.10207614819699751","-0.47400814410666003","0.678160440500655","7.152765024129472","8.304933608736787"
"1976-01-01","7.94790183","7.761895999906742","0.18600572586230105","-0.3900785664413565","0.7620900181659586","7.185811707603085","8.3379802922104"
"1977-01-01","7.816571719","7.789471016563073","0.027100695930823527","-0.548983596372834","0.6031849882344811","7.213386724259416","8.365555308866732"
"1978-01-01","7.723607867","7.7534122051468","-0.02980418817902625","-0.6058884804826838","0.5462801041246312","7.177327912843142","8.329496497450457"
"1979-01-01","7.652880855","7.744025805094794","-0.09114513645465745","-0.667229428758315","0.4849391558490001","7.167941512791137","8.320110097398452"
"1980-01-01","7.638369347","7.705068903942871","-0.06669934370117138","-0.6427836360048289","0.5093849486024862","7.128984611639213","8.281153196246528"
"1981-01-01","7.627547548","7.686369687262462","-0.05882194632618272","-0.6349062386298403","0.5172623459774748","7.1102853949588045","8.26245397956612"
"1982-01-01","7.642187753","7.6587397437316245","-0.016552148364192786","-0.5926364406678504","0.5595321439394647","7.082655451427967","8.234824036035281"
"1983-01-01","7.529611872","7.626014405035628","-0.09640234067405525","-0.6724866329777128","0.4796819516296023","7.04993011273197","8.202098697339284"
"1984-01-01","7.516870317","7.580179980956664","-0.06330948229943707","-0.6393937746030947","0.5127748100042204","7.004095688653006","8.156264273260321"
"1985-01-01","8.156625304","7.6585530792458165","0.4980726684348478","-0.07801162386880972","1.0741569607385053","7.082468786942159","8.234637371549475"
"1986-01-01","9.259393644","7.964660290447716","1.294733401568886","0.7186491092652285","1.8708176938725436","7.388575998144058","8.540744582751373"
"1987-01-01","9.392948725","8.338153093310012","1.0547960109990693","0.47871171869541174","1.6308803033027268","7.762068801006355","8.91423738561367"
"1988-01-01","9.217964654","8.575090348552628","0.6428747774849704","0.06679048518131281","1.218959069788628","7.99900605624897","9.151174640856286"
"1989-01-01","8.890495121","8.739606710708088","0.15088858958488108","-0.4251957027187765","0.7269728818885386","8.16352241840443","9.315691003011747"
"1990-01-01","8.749947506","8.807223437699413","-0.057275889786815734","-0.6333601820904733","0.5188084025168418","8.231139145395755","9.383307730003072"
"1991-01-01","8.761076493","8.850983629454769","-0.08990670226971073","-0.6659909945733683","0.4861775900339468","8.274899337151112","9.427067921758425"
"1992-01-01","8.856480807","8.871344742449326","-0.014864143999619259","-0.5909484363032768","0.5612201483040383","8.295260450145669","9.447429034752982"
"1993-01-01","9.206341182","8.924778245691535","0.2815625441033874","-0.29452174820027016","0.8576468364070449","8.348693953387876","9.500862537995193"
"1994-01-01","9.482441487","9.045738866452098","0.43670303570854724","-0.1393812565951103","1.0127873280122048","8.46965457414844","9.621823158755756"
"1995-01-01","9.51580753","9.161396536929137","0.35441061486529646","-0.22167367743836108","0.930494907168954","8.58531224462548","9.737480829232794"
"1996-01-01","9.678590884","9.262677513879256","0.41591326065687756","-0.16017103164677998","0.9919975529605352","8.686593221575599","9.838761806182912"
"1997-01-01","9.572225706","9.365128993459622","0.20709657721908928","-0.3689877150845683","0.7831808695227468","8.789044701155966","9.94121328576328"
"1998-01-01","9.067318137","9.349252890498148","-0.28193492785166335","-0.858019220155321","0.2941493644519942","8.773168598194491","9.925337182801805"
"1999-01-01","8.502079574","9.197111589544445","-0.6950316258603626","-1.2711159181640201","-0.11894733355670506","8.621027297240786","9.773195881848103"
"2000-01-01","7.952201139","8.938052982649596","-0.985851616225036","-1.5619359085286937","-0.4097673239213785","8.36196869034594","9.514137274953253"
"2001-01-01","7.378608106","8.572078593359828","-1.1934703665837048","-1.7695546588873623","-0.6173860742800472","7.995994301056171","9.148162885663485"
"2002-01-01","6.896704748","8.140334772225376","-1.243630098458287","-1.8197143907619446","-0.6675458061546296","7.564250479921719","8.716419064529035"
"2003-01-01","6.893812014","7.746291561392338","-0.8524793818269087","-1.4285636741305663","-0.2763950895232512","7.170207269088681","8.322375853695995"
"2004-01-01","6.841157916","7.438474292796655","-0.5973163795886467","-1.1734006718923042","-0.021232087284989154","6.862390000492997","8.014558585100312"
"2005-01-01","6.761233087","7.165822715942488","-0.40458986300669686","-0.976793057667267","0.16761333165387327","6.5936195212819175","7.738025910603058"
"2006-01-01","6.764223515","6.966287549199183","-0.20206397360714198","-0.7829631363660321","0.3788351891517481","6.385388386440293","7.547186711958074"
"2007-01-01","6.618095255","6.804841292612714","-0.18674589466349567","-0.7842845533941162","0.41079276406712484","6.207302633882094","7.402379951343335"
"2008-01-01","6.371129427","6.641887841243954","-0.2707583284570885","-0.6613489233735254","0.1198322664593483","6.251297246327518","7.032478436160391"
"2009-01-01","6.243400037","6.493237057270866","-0.24983696037755515","-0.5956875755231819","0.09601365476807155","6.1473864421252395","6.839087672416492"
"2010-01-01","6.197091519","6.372017360660544","-0.17492578122328775","-0.5020635860125372","0.15221202356596167","6.044879555871295","6.699155165449793"
"2011-01-01","6.0896619","6.2555454336737295","-0.16588335863100503","-0.5068155521791129","0.1750488349171028","5.914613240125622","6.596477627221837"
"2012-01-01","5.998246291","6.1434416201779145","-0.14519542724578527","-0.35635558586286464","0.06596473137129408","5.9322814615608355","6.3546017787949935"
"2013-01-01","5.958997218","6.0422640485717976","-0.08326679896852565","-0.29429001413693967","0.12775641619988837","5.831240833403384","6.253287263740211"
