severity,parameter,warning
warning,rho_1,R-hat 1.092 > 1.01
warning,rho_1,bulk ESS 11.6 < 400
warning,rho_1,tail ESS 21.9 < 400
warning,n,R-hat 1.066 > 1.01
warning,n,bulk ESS 18.8 < 400
warning,n,tail ESS 21.9 < 400
warning,sigma_u,R-hat 1.046 > 1.01
warning,sigma_u,bulk ESS 30.0 < 400
warning,sigma_u,tail ESS 24.0 < 400
warning,sigma_eps,R-hat 1.107 > 1.01
warning,sigma_eps,bulk ESS 11.4 < 400
warning,sigma_eps,tail ESS 22.1 < 400
warning,sigma_N,R-hat 1.023 > 1.01
warning,sigma_N,bulk ESS 53.7 < 400
warning,sigma_N,tail ESS 69.7 < 400
