severity,parameter,warning
warning,theta,R-hat 1.030 > 1.01
warning,theta,bulk ESS 76.9 < 400
warning,theta,tail ESS 120.0 < 400
warning,rho_1,R-hat 1.083 > 1.01
warning,rho_1,bulk ESS 15.2 < 400
warning,rho_1,tail ESS 36.9 < 400
warning,rho_2,R-hat 1.050 > 1.01
warning,rho_2,bulk ESS 22.8 < 400
warning,rho_2,tail ESS 50.9 < 400
warning,n,R-hat 1.020 > 1.01
warning,n,bulk ESS 208.7 < 400
warning,n,tail ESS 185.0 < 400
warning,sigma_u,R-hat 1.010 > 1.01
warning,sigma_u,bulk ESS 214.2 < 400
warning,sigma_u,tail ESS 351.1 < 400
warning,sigma_eps,bulk ESS 123.5 < 400
warning,sigma_eps,tail ESS 218.9 < 400
