run,model,data_spec,prior_spec,constraint_spec,restriction,unit,prior_mean,prior_sd,sddr_bf01
hsa_steady_unemployment_gap_tight_20260622_205807,hsa_steady,unemployment_gap,tight,unrestricted,kappa_0=0,inflation points per x point at average Nbar,0.1,0.1,1.0316917191842723
hsa_steady_unemployment_gap_tight_20260622_205807,hsa_steady,unemployment_gap,tight,unrestricted,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.01,0.5854370645039889
