run,model,data_spec,prior_spec,constraint_spec,coefficient,time_index,posterior_mean,ci_2.5,ci_97.5
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,theta_t,53,0.049812887398798085,-0.385524441249913,0.47598792148113006
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,theta_t,59,0.050923304846675885,-0.3870040879191565,0.4721825028872207
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,theta_t,64,0.053732092329659836,-0.38195788762080274,0.46907102260945466
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,theta_t,70,0.0563967405232788,-0.37864226782248794,0.4711818245094488
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,theta_t,75,0.05836972280387069,-0.38496857424353625,0.47506708763059124
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,theta_t,80,0.06036454496133176,-0.38855797447517937,0.4765710753949716
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,theta_t,86,0.06046261741747957,-0.3901514013055042,0.47671470403658306
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,theta_t,91,0.06172770200645832,-0.39627791356282754,0.47550548130634634
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,theta_t,96,0.06278665038450797,-0.4062172473614673,0.47745080918916827
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,theta_t,102,0.06613540013637226,-0.405837946669437,0.4823672618919038
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,theta_t,107,0.0693494848715267,-0.4063544522772465,0.49173741325123715
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,theta_t,112,0.06924500066764971,-0.4058801558845228,0.48385626427838174
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,theta_t,118,0.06942568934342118,-0.41571854951750237,0.4835984969479104
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,theta_t,123,0.07061024594694999,-0.415504685771011,0.49302678300232505
hsa_full_inv_markup_baseline_restricted_kappa_20260622_235601,hsa_full,inv_markup,baseline,restricted_kappa,kappa_t,0,0.035072521801611585,-0.22010911570806022,0.28749422006752823
hsa_full_inv_markup_baseline_restricted_kappa_20260622_235601,hsa_full,inv_markup,baseline,restricted_kappa,kappa_t,5,0.0355092566177918,-0.21491648511075284,0.28441270661464857
hsa_full_inv_markup_baseline_restricted_kappa_20260622_235601,hsa_full,inv_markup,baseline,restricted_kappa,kappa_t,11,0.034693056657098965,-0.21264253182411474,0.27992009566083426
hsa_full_inv_markup_baseline_restricted_kappa_20260622_235601,hsa_full,inv_markup,baseline,restricted_kappa,kappa_t,16,0.03311583753650492,-0.2140665150335008,0.2790927663944227
hsa_full_inv_markup_baseline_restricted_kappa_20260622_235601,hsa_full,inv_markup,baseline,restricted_kappa,kappa_t,21,0.03321835980577218,-0.21893645904201622,0.2804052280901501
hsa_full_inv_markup_baseline_restricted_kappa_20260622_235601,hsa_full,inv_markup,baseline,restricted_kappa,kappa_t,27,0.0334443711466668,-0.22069738732286442,0.2822016220003155
hsa_full_inv_markup_baseline_restricted_kappa_20260622_235601,hsa_full,inv_markup,baseline,restricted_kappa,kappa_t,32,0.033511420669466205,-0.21728612604716363,0.2815763450355938
hsa_full_inv_markup_baseline_restricted_kappa_20260622_235601,hsa_full,inv_markup,baseline,restricted_kappa,kappa_t,37,0.03352812544501886,-0.21663048224696788,0.2818839365453285
