run,model,data_spec,prior_spec,constraint_spec,parameter,unit,mean,sd,ci_2.5,ci_97.5
ces_inv_markup_full_baseline_20260623_014846,ces,inv_markup_full,baseline,unrestricted,alpha,share,0.6394935081011621,0.05227698792229532,0.5380375299616754,0.7420861047012839
ces_inv_markup_full_baseline_20260623_014846,ces,inv_markup_full,baseline,unrestricted,kappa,inflation points per x point,0.006727227891079419,0.11465180565958309,-0.2170562420467619,0.22833437198069473
ces_inv_markup_full_baseline_20260623_014846,ces,inv_markup_full,baseline,unrestricted,lambda_ez,shock loading,-0.019179638538188885,0.1609063705415972,-0.34289740229548366,0.3011714709499187
ces_inv_markup_full_baseline_20260623_014846,ces,inv_markup_full,baseline,unrestricted,phi_1,AR(1) coefficient,0.6643725457825437,0.06776272881261683,0.5298952618442208,0.800348765636538
ces_inv_markup_full_baseline_20260623_014846,ces,inv_markup_full,baseline,unrestricted,rho,reported physical units,-0.014094688090188389,0.11798142213330165,-0.25007550608692414,0.22077564950612172
ces_inv_markup_full_baseline_20260623_014846,ces,inv_markup_full,baseline,unrestricted,sigma_e,reported physical units,0.6739679371611993,0.043740034508906504,0.5944340882672123,0.7628816378585345
ces_inv_markup_full_baseline_20260623_014846,ces,inv_markup_full,baseline,unrestricted,sigma_zeta,reported physical units,0.5001896715245199,0.03208581073703286,0.44173180544333324,0.5693243171002399
ces_inv_markup_post_2008_baseline_20260623_014849,ces,inv_markup_post_2008,baseline,unrestricted,alpha,share,0.5680463467336565,0.12434746101999514,0.3216123139435793,0.8071847099604004
ces_inv_markup_post_2008_baseline_20260623_014849,ces,inv_markup_post_2008,baseline,unrestricted,kappa,inflation points per x point,0.12159048258784923,0.1849497018894681,-0.23992172859312483,0.48061408865950545
ces_inv_markup_post_2008_baseline_20260623_014849,ces,inv_markup_post_2008,baseline,unrestricted,lambda_ez,shock loading,0.038673113770505835,0.29853466119529615,-0.5603438682847597,0.6212106313017262
ces_inv_markup_post_2008_baseline_20260623_014849,ces,inv_markup_post_2008,baseline,unrestricted,phi_1,AR(1) coefficient,0.6265869351097737,0.15983145815683802,0.3215636360794485,0.9435602301618534
ces_inv_markup_post_2008_baseline_20260623_014849,ces,inv_markup_post_2008,baseline,unrestricted,rho,reported physical units,0.029352297861868545,0.22265547972754976,-0.40411672204502497,0.46080727004821437
ces_inv_markup_post_2008_baseline_20260623_014849,ces,inv_markup_post_2008,baseline,unrestricted,sigma_e,reported physical units,1.0388554785637047,0.1792494592408119,0.7583585691679626,1.4508027575868503
ces_inv_markup_post_2008_baseline_20260623_014849,ces,inv_markup_post_2008,baseline,unrestricted,sigma_zeta,reported physical units,0.7976233168249798,0.15177009117173848,0.5606810890826966,1.148435550592885
ces_inv_markup_pre_2008_baseline_20260623_014848,ces,inv_markup_pre_2008,baseline,unrestricted,alpha,share,0.6919360573096054,0.055285796823942204,0.5807248945995253,0.7978619854000061
