run,model,data_spec,prior_spec,constraint_spec,restriction,unit,prior_mean,prior_sd,sddr_bf01
hsa_steady_inv_markup_tight_20260622_205741,hsa_steady,inv_markup,tight,unrestricted,kappa_0=0,inflation points per x point at average Nbar,0.1,0.1,1.1563659137953683
hsa_steady_inv_markup_tight_20260622_205741,hsa_steady,inv_markup,tight,unrestricted,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.01,0.692830439384984
