run,model,data_spec,prior_spec,constraint_spec,n_transform,log_marginal_likelihood,bayes_factor_vs_baseline,sddr_delta_bf01,sddr_theta_bf01,sddr_theta0_bf01,sddr_gamma_bf01,predictive_score,posterior_predictive_rmse,notes,log_likelihood,log_prior,log_posterior_ordinate,n_draws,method
ces_unemployment_gap_core_start_1988_baseline_20260709_165646,ces,unemployment_gap_core_start_1988,baseline,unrestricted,log100_centered10,-176.28525247548987,1.0,,,,,-239.61297305931637,0.6612658898996054,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-329.1581027867931,-22.718587005626834,-175.59143731693007,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
ces_unemployment_gap_start_1988_baseline_20260623_032415,ces,unemployment_gap_start_1988,baseline,unrestricted,log100_centered10,-197.69724957415127,5.022128416912106e-10,,,,,-94.90986749868179,0.623136854917974,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-179.85372327415104,-5.834728532642907,12.008797767357308,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_dynamic_unemployment_gap_core_start_1988_baseline_20260709_172351,hsa_dynamic,unemployment_gap_core_start_1988,baseline,unrestricted,log100_centered10,-74.6394399424967,1.3938482419712467e+44,,2.1232285912583704,,,-275.8990547639176,0.652998778344113,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-222.86882273524978,-39.52659948409462,-187.75598227684767,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_dynamic_unemployment_gap_start_1988_baseline_20260623_035101,hsa_dynamic,unemployment_gap_start_1988,baseline,unrestricted,log100_centered10,-314.05856875719087,1.4649033944528596e-60,,0.8264335307627296,,,-93.63667632770667,0.6171617169268088,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-203.31124341044773,-92.09025922014553,18.657066126597634,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_full_unemployment_gap_core_start_1988_baseline_20260709_173857,hsa_full,unemployment_gap_core_start_1988,baseline,unrestricted,log100_centered10,-82.89309338023574,3.6282679131642522e+40,1.435580021815893,,1.8488902413118915,0.9889041521919394,-237.05195000678532,0.6519218793267249,SDDR uses run-specific saved priors and physical-unit posterior draws. HSA full Chib is conditional on posterior mean latent states because the full observation equation is nonlinear in Nhat and Nbar. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-235.90874939433988,-10.03266837992425,-163.04832439402838,3200,"Conditional Chib 1995 for HSA full inflation equation, conditioned on posterior mean latent states"
hsa_full_unemployment_gap_start_1988_baseline_20260623_040601,hsa_full,unemployment_gap_start_1988,baseline,unrestricted,log100_centered10,-99.58282596163731,2.048521769615843e+33,1.0855013787455323,,0.8152034849640025,1.0027195492812568,-93.39429378170176,0.6137690040169098,SDDR uses run-specific saved priors and physical-unit posterior draws. HSA full Chib is conditional on posterior mean latent states because the full observation equation is nonlinear in Nhat and Nbar. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-93.51526832250474,6.996683787718508,13.064241426851083,3200,"Conditional Chib 1995 for HSA full inflation equation, conditioned on posterior mean latent states"
hsa_steady_unemployment_gap_core_start_1988_baseline_20260709_170701,hsa_steady,unemployment_gap_core_start_1988,baseline,unrestricted,log100_centered10,-73.77378685722732,3.3125607359472053e+44,1.145816786017442,,,,-243.97477285612422,0.6637776945642836,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-181.7741795054492,-40.62609974792151,-148.6264923961434,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_steady_unemployment_gap_start_1988_baseline_20260623_033422,hsa_steady,unemployment_gap_start_1988,baseline,unrestricted,log100_centered10,-293.85605196226373,8.702630609954209e-52,1.1335804823022053,,,,-94.61997002957526,0.6213427980184094,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-236.68609481652774,-29.713813635791446,27.456143509944543,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
