"date","original_series","trend","cycle"
"1993-04-01","0","-0.006187433374363694","0.006187433374363694"
"1993-07-01","-0.0333262373262459","-0.0461967569774258","0.012870518583642227"
"1993-10-01","-0.101163759925427","-0.09346096223391746","-0.007702797593696373"
"1994-01-01","-0.14504995267941","-0.1393024491044843","-0.005747510316673546"
"1994-04-01","-0.177817665299228","-0.18169079857106762","0.0038731260799940263"
"1994-07-01","-0.230605810035285","-0.22633412682261206","-0.004271684058048943"
"1994-10-01","-0.299975964250571","-0.27715067643355823","-0.02282528501320388"
"1995-01-01","-0.327567480959124","-0.3219078504517578","-0.005659637503335589"
"1995-04-01","-0.382485304717835","-0.36960052333235494","-0.012884776970150573"
"1995-07-01","-0.421930338542328","-0.4146628356665985","-0.00726750724607542"
"1995-10-01","-0.459687719918873","-0.45819759747232935","-0.0014901123360202286"
"1996-01-01","-0.49127580366924","-0.49935389339211333","0.008078076236275315"
"1996-04-01","-0.537693956904149","-0.542923799744357","0.005229822388400012"
"1996-07-01","-0.577918727422922","-0.5853757162948471","0.007457007970414707"
"1996-10-01","-0.623870969804315","-0.6289109390018416","0.005039970183176982"
"1997-01-01","-0.684270334771235","-0.6761997511453516","-0.008070571177493878"
"1997-04-01","-0.729657056764631","-0.7220421939330314","-0.007614860014417392"
"1997-07-01","-0.780612743440221","-0.7689693084441609","-0.011643458298545458"
"1997-10-01","-0.829823975921872","-0.816413019790543","-0.013410951004134744"
"1998-01-01","-0.84568491511667","-0.8553584264976191","0.009673540518920358"
"1998-04-01","-0.897389049992023","-0.8990380505153701","0.001648996216969215"
"1998-07-01","-0.972945528993623","-0.9509108955236308","-0.022034615817464128"
"1998-10-01","-1.00694177273836","-0.9979500306701553","-0.008991764678965836"
"1999-01-01","-1.02812111016563","-1.0376281062790615","0.009506992501900997"
"1999-04-01","-1.05487331202511","-1.0741304997710253","0.01925715248861551"
"1999-07-01","-1.09274644227234","-1.1122078359522227","0.019461339751661248"
"1999-10-01","-1.11371493663476","-1.1475168478118012","0.03380191441641546"
"2000-01-01","-1.16244272321489","-1.1877337086295137","0.025291024455929623"
"2000-04-01","-1.20537133877548","-1.226750009649973","0.021378629797678184"
"2000-07-01","-1.24533652179321","-1.2642950258491525","0.01895849325637911"
"2000-10-01","-1.26319159659864","-1.296092837185719","0.03290125641331904"
"2001-01-01","-1.2782707206601","-1.3236103698531494","0.04533964841760256"
"2001-04-01","-1.28648452247491","-1.3468944229259345","0.06040994302175972"
"2001-07-01","-1.29332334572802","-1.3669236366648032","0.07360023902838962"
"2001-10-01","-1.29195601781874","-1.3810658980880406","0.08910983100277456"
"2002-01-01","-1.29332334572802","-1.391280470396983","0.09795707276056947"
"2002-04-01","-1.32062416778611","-1.405024489316527","0.08440037623364116"
"2002-07-01","-1.36412529626622","-1.4252958583175799","0.06117060654756034"
"2002-10-01","-1.39660677239394","-1.4463697575501882","0.049762954609819395"
"2003-01-01","-1.41819286205274","-1.4654698762324767","0.047277012768121136"
"2003-04-01","-1.44644230093789","-1.4847161735734626","0.03827392713638988"
