data_spec,period,n_obs,status,alpha_ols,kappa_ols,corr_x_y,corr_x_N_model,x_mean,x_sd,rmse
inv_markup,full,124,ok,0.6507811208835174,-0.025360163620759876,0.07472399386701742,0.1690267112771235,-0.06555139454256304,0.6477885600931981,0.6453240384818814
inv_markup,pre_2008,103,ok,0.7096093353094859,-0.0369600152278056,0.001715355626345094,0.23358263443316638,-0.05399529296208281,0.6236526772874619,0.5137518355600044
inv_markup,post_2008,16,ok,0.6128325121686098,0.17895863776221585,0.2933506071849066,-0.8023148523360328,-0.20512449448701323,0.8373084102780324,0.9129954889081092
inv_markup,exclude_covid,124,ok,0.6507811208835174,-0.025360163620759876,0.07472399386701742,0.1690267112771235,-0.06555139454256304,0.6477885600931981,0.6453240384818814
inv_markup,start_1988,100,ok,0.6338431650644909,-0.013843478129760013,0.05414682658934897,0.09407431437679321,-0.10151254566775016,0.6294527193187653,0.6229961076777092
inv_markup,end_2019,124,ok,0.6507811208835174,-0.025360163620759876,0.07472399386701742,0.1690267112771235,-0.06555139454256304,0.6477885600931981,0.6453240384818814
output_gap_bn,full,124,ok,0.6839373857858182,0.06284679820460423,-0.23436867357848448,0.3325309017758679,-0.1890306463788625,1.5292387330840127,0.6395001277789529
output_gap_bn,pre_2008,103,ok,0.7503219010139255,0.04710048580347024,-0.43332325332287447,0.2184286383454418,0.0311237425758298,1.3920954196392117,0.5116308438833687
output_gap_bn,post_2008,16,ok,0.5214373802453497,0.22073590368192347,0.7057789078829378,-0.8447927942596261,-1.0207174241872083,1.821811679256885,0.8266526874324287
output_gap_bn,exclude_covid,124,ok,0.6839373857858182,0.06284679820460423,-0.23436867357848448,0.3325309017758679,-0.1890306463788625,1.5292387330840127,0.6395001277789529
output_gap_bn,start_1988,100,ok,0.6595536727576143,0.08291608902073316,-0.029165258235129766,0.3658295026789246,-0.37020545580709,1.2924382097094103,0.6137039037302239
output_gap_bn,end_2019,124,ok,0.6839373857858182,0.06284679820460423,-0.23436867357848448,0.3325309017758679,-0.1890306463788625,1.5292387330840127,0.6395001277789529
output_gap_hp,full,124,ok,0.6537469863653016,0.16586125943730728,0.2097663898338098,0.09288911257889143,-0.12421165547516741,1.3672562879304815,0.6044025669603479
output_gap_hp,pre_2008,103,ok,0.738901653231799,0.13258189451821406,0.0729676153672553,0.028701816254882686,-0.06047648182084397,1.354381760100149,0.48301326013623125
output_gap_hp,post_2008,16,ok,0.5704438858210327,0.19294182527027773,0.720303304101646,-0.8609525110583774,-0.964960459549328,0.9744836119735372,0.8926664235534667
output_gap_hp,exclude_covid,124,ok,0.6537469863653016,0.16586125943730728,0.2097663898338098,0.09288911257889143,-0.12421165547516741,1.3672562879304815,0.6044025669603479
output_gap_hp,start_1988,100,ok,0.6063192575904052,0.17671189568439397,0.3249142307007098,0.046571973217442345,-0.0005248092054767994,1.171583167187999,0.5886920691679165
output_gap_hp,end_2019,124,ok,0.6537469863653016,0.16586125943730728,0.2097663898338098,0.09288911257889143,-0.12421165547516741,1.3672562879304815,0.6044025669603479
labor_share_gap_hp,full,124,ok,0.6522440324690053,-0.012717601223282462,0.19064965480400728,-0.06594089803376206,-0.001095442003072512,1.1005522237029035,0.6453905949245673
labor_share_gap_hp,pre_2008,103,ok,0.7060655804043544,0.006759038915132523,0.2243253024284663,-0.0704715977386534,-0.024152816551364392,1.0461208650646276,0.5142211021894576
labor_share_gap_hp,post_2008,16,ok,0.603938638362201,-0.14560732247425442,-0.31337401712500734,-0.08893197584478764,-0.38192855755832866,1.0314815468155576,0.9125847928405766
labor_share_gap_hp,exclude_covid,124,ok,0.6522440324690053,-0.012717601223282462,0.19064965480400728,-0.06594089803376206,-0.001095442003072512,1.1005522237029035,0.6453905949245673
labor_share_gap_hp,start_1988,100,ok,0.6379261826858086,-0.030596943717230724,0.07178283661386684,-0.06590418105673956,0.020542838871616027,1.0492313945256573,0.6222563337995318
labor_share_gap_hp,end_2019,124,ok,0.6522440324690053,-0.012717601223282462,0.19064965480400728,-0.06594089803376206,-0.001095442003072512,1.1005522237029035,0.6453905949245673
unemployment_gap,full,124,ok,0.6512523175358854,0.059588513346258115,0.07566699017332697,0.4160871461154134,-0.9882586036129032,1.6468940218351686,0.6353701553910912
unemployment_gap,pre_2008,103,ok,0.704848512792071,0.15601709726513027,0.19735937296982956,0.006622215294423357,-0.5426596295436892,1.2407371763590895,0.4692574887214136
unemployment_gap,post_2008,16,ok,0.6338324170897867,-0.0171568295507318,0.23454504859892458,-0.7015725920396169,-4.0022710659375,0.6981145898772939,0.9219927516640455
unemployment_gap,exclude_covid,124,ok,0.6512523175358854,0.059588513346258115,0.07566699017332697,0.4160871461154134,-0.9882586036129032,1.6468940218351686,0.6353701553910912
unemployment_gap,start_1988,100,ok,0.6330691452076124,-0.0020647475673945376,-0.006857494379984819,0.46773768877026295,-0.7826670557900002,1.6359351758306597,0.6230467241656058
unemployment_gap,end_2019,124,ok,0.6512523175358854,0.059588513346258115,0.07566699017332697,0.4160871461154134,-0.9882586036129032,1.6468940218351686,0.6353701553910912
