run,model,data_spec,prior_spec,constraint_spec,n_transform,log_marginal_likelihood,bayes_factor_vs_baseline,sddr_delta_bf01,sddr_theta_bf01,sddr_theta0_bf01,sddr_gamma_bf01,predictive_score,posterior_predictive_rmse,notes,log_likelihood,log_prior,log_posterior_ordinate,n_draws,method
hsa_full_output_gap_bn_baseline_20260702_071810,hsa_full,output_gap_bn,baseline,unrestricted,log100_centered10,-125.87327208978353,7.764400345318737e+51,0.8594035109780078,,3.6000871177581364,0.27156581857248524,-116.42378648636206,0.6170411040643216,SDDR uses run-specific saved priors and physical-unit posterior draws. HSA full Chib is conditional on posterior mean latent states because the full observation equation is nonlinear in Nhat and Nbar. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-116.49424592065505,5.296997983587517,14.676024152716002,3200,"Conditional Chib 1995 for HSA full inflation equation, conditioned on posterior mean latent states"
hsa_full_output_gap_bn_baseline_20260702_141532,hsa_full,output_gap_bn,baseline,unrestricted,log100_centered10,-125.87327208978353,7.764400345318737e+51,0.8594035109780078,,3.6000871177581364,0.27156581857248524,-116.42378648636206,0.6170411040643216,SDDR uses run-specific saved priors and physical-unit posterior draws. HSA full Chib is conditional on posterior mean latent states because the full observation equation is nonlinear in Nhat and Nbar. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-116.49424592065505,5.296997983587517,14.676024152716002,3200,"Conditional Chib 1995 for HSA full inflation equation, conditioned on posterior mean latent states"
hsa_full_output_gap_bn_core_baseline_20260709_164751,hsa_full,output_gap_bn_core,baseline,unrestricted,log100_centered10,-116.93918308537447,5.890246578577645e+55,0.9676327032935516,,5.477802804670278,0.07765088948429026,-224.6592823769769,0.6415852056808948,SDDR uses run-specific saved priors and physical-unit posterior draws. HSA full Chib is conditional on posterior mean latent states because the full observation equation is nonlinear in Nhat and Nbar. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-223.72567349522012,-6.6948183038906395,-113.48130871373628,3200,"Conditional Chib 1995 for HSA full inflation equation, conditioned on posterior mean latent states"
hsa_full_output_gap_bn_core_full_baseline_20260709_181749,hsa_full,output_gap_bn_core_full,baseline,unrestricted,log100_centered10,-116.93918308537447,5.890246578577645e+55,0.9676327032935516,,5.477802804670278,0.07765088948429026,-224.6592823769769,0.6415852056808948,SDDR uses run-specific saved priors and physical-unit posterior draws. HSA full Chib is conditional on posterior mean latent states because the full observation equation is nonlinear in Nhat and Nbar. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-223.72567349522012,-6.6948183038906395,-113.48130871373628,3200,"Conditional Chib 1995 for HSA full inflation equation, conditioned on posterior mean latent states"
hsa_full_output_gap_bn_full_baseline_20260623_031022,hsa_full,output_gap_bn_full,baseline,unrestricted,log100_centered10,-125.00531094714444,1.8495183945602166e+52,0.4392871968528136,,0.07998224941025832,1.2420872918855141,-123.14133893074052,0.6503729164011776,SDDR uses run-specific saved priors and physical-unit posterior draws. HSA full Chib is conditional on posterior mean latent states because the full observation equation is nonlinear in Nhat and Nbar. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-123.14139621343904,6.296181476476011,8.160096210181404,3200,"Conditional Chib 1995 for HSA full inflation equation, conditioned on posterior mean latent states"
hsa_steady_output_gap_bn_baseline_20260702_071927,hsa_steady,output_gap_bn,baseline,unrestricted,log100_centered10,-122.23340841008249,2.957199548440194e+53,0.8638143336664023,,,,-120.14789044017765,0.6362077460774251,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-46.908409705190614,-26.527030980710865,48.797967724181,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_steady_output_gap_bn_baseline_20260702_140214,hsa_steady,output_gap_bn,baseline,unrestricted,log100_centered10,-122.23340841008249,2.957199548440194e+53,0.8638143336664023,,,,-120.14789044017765,0.6362077460774251,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-46.908409705190614,-26.527030980710865,48.797967724181,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_steady_output_gap_bn_core_baseline_20260709_162638,hsa_steady,output_gap_bn_core,baseline,unrestricted,log100_centered10,-105.51155181057518,5.408672428233431e+60,1.0616186069905376,,,,-213.56147428858424,0.6521402850194736,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-158.28586540402097,-37.42254990904761,-90.19686350249339,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_steady_output_gap_bn_core_full_baseline_20260709_174421,hsa_steady,output_gap_bn_core_full,baseline,unrestricted,log100_centered10,-105.51155181057518,5.408672428233431e+60,1.0616186069905376,,,,,,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-158.28586540402097,-37.42254990904761,-90.19686350249339,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_steady_output_gap_bn_full_baseline_20260623_023556,hsa_steady,output_gap_bn_full,baseline,unrestricted,log100_centered10,-354.0243018226576,6.388143549383011e-48,0.4690035599231653,,,,,,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-286.58750132237213,-38.96631443537953,28.47048606490599,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
