run,model,data_spec,prior_spec,constraint_spec,parameter,unit,mean,sd,ci_2.5,ci_97.5
ces_output_gap_bn_core_end_2019_baseline_20260709_174420,ces,output_gap_bn_core_end_2019,baseline,unrestricted,alpha,share,0.745532888521431,0.04546185343568891,0.6550201331937918,0.8335386815591495
ces_output_gap_bn_core_end_2019_baseline_20260709_174420,ces,output_gap_bn_core_end_2019,baseline,unrestricted,kappa,inflation points per x point,0.03208994918909443,0.02441940168334782,-0.01526834655579968,0.0796425226170681
ces_output_gap_bn_core_end_2019_baseline_20260709_174420,ces,output_gap_bn_core_end_2019,baseline,unrestricted,lambda_ez,shock loading,-0.12837003468226904,0.05587641659286925,-0.24019070581938998,-0.017168550894532442
ces_output_gap_bn_core_end_2019_baseline_20260709_174420,ces,output_gap_bn_core_end_2019,baseline,unrestricted,phi_1,AR(1) coefficient,0.9149322389358778,0.03253424341467805,0.8510395283447509,0.9767908738613282
ces_output_gap_bn_core_end_2019_baseline_20260709_174420,ces,output_gap_bn_core_end_2019,baseline,unrestricted,rho,reported physical units,-0.21920205777676,0.09205228990613266,-0.39326024471023974,-0.02984463049248077
ces_output_gap_bn_core_end_2019_baseline_20260709_174420,ces,output_gap_bn_core_end_2019,baseline,unrestricted,sigma_e,reported physical units,0.336856809469573,0.021946775718618697,0.29810226302034437,0.38444375038074236
ces_output_gap_bn_core_end_2019_baseline_20260709_174420,ces,output_gap_bn_core_end_2019,baseline,unrestricted,sigma_zeta,reported physical units,0.5781356720332991,0.03674679150197728,0.5113918883083772,0.6575815313202497
ces_output_gap_bn_core_exclude_covid_baseline_20260709_174418,ces,output_gap_bn_core_exclude_covid,baseline,unrestricted,alpha,share,0.744806035369044,0.04608054895356226,0.6521428107710964,0.8345742785911446
ces_output_gap_bn_core_exclude_covid_baseline_20260709_174418,ces,output_gap_bn_core_exclude_covid,baseline,unrestricted,kappa,inflation points per x point,0.03256071527770785,0.024702089507865916,-0.015097241723824496,0.08063670212370432
ces_output_gap_bn_core_exclude_covid_baseline_20260709_174418,ces,output_gap_bn_core_exclude_covid,baseline,unrestricted,lambda_ez,shock loading,-0.12846741167938663,0.0555299247066894,-0.24050603870438633,-0.02312451675324755
ces_output_gap_bn_core_exclude_covid_baseline_20260709_174418,ces,output_gap_bn_core_exclude_covid,baseline,unrestricted,phi_1,AR(1) coefficient,0.9146734394805764,0.03295539175469087,0.8495995275295382,0.9808088480976852
ces_output_gap_bn_core_exclude_covid_baseline_20260709_174418,ces,output_gap_bn_core_exclude_covid,baseline,unrestricted,rho,reported physical units,-0.2196591241422684,0.09238688033310076,-0.39824465482720134,-0.03964146469878922
ces_output_gap_bn_core_exclude_covid_baseline_20260709_174418,ces,output_gap_bn_core_exclude_covid,baseline,unrestricted,sigma_e,reported physical units,0.33662150405315344,0.02200429225782175,0.2976073807440102,0.3843022873257664
ces_output_gap_bn_core_exclude_covid_baseline_20260709_174418,ces,output_gap_bn_core_exclude_covid,baseline,unrestricted,sigma_zeta,reported physical units,0.5780770019986033,0.037820873381891926,0.5083601149220982,0.6552711098394541
ces_output_gap_bn_core_full_baseline_20260709_174415,ces,output_gap_bn_core_full,baseline,unrestricted,alpha,share,0.74535933074366,0.045068399740478236,0.6522883270449128,0.8301402391117918
ces_output_gap_bn_core_full_baseline_20260709_174415,ces,output_gap_bn_core_full,baseline,unrestricted,kappa,inflation points per x point,0.03172285402094013,0.024638150278458292,-0.017029349656504225,0.0808920938464345
ces_output_gap_bn_core_full_baseline_20260709_174415,ces,output_gap_bn_core_full,baseline,unrestricted,lambda_ez,shock loading,-0.12812252563349114,0.05593916327197229,-0.2369479012031043,-0.020222556287911045
ces_output_gap_bn_core_full_baseline_20260709_174415,ces,output_gap_bn_core_full,baseline,unrestricted,phi_1,AR(1) coefficient,0.9146103240930842,0.03378412348808781,0.8476487038421472,0.9824626974114397
ces_output_gap_bn_core_full_baseline_20260709_174415,ces,output_gap_bn_core_full,baseline,unrestricted,rho,reported physical units,-0.22015150343076353,0.09341584382531676,-0.4005010439134789,-0.036050782968167605
ces_output_gap_bn_core_full_baseline_20260709_174415,ces,output_gap_bn_core_full,baseline,unrestricted,sigma_e,reported physical units,0.33562233596261165,0.021984737455807472,0.29597419821437176,0.3802823805277405
ces_output_gap_bn_core_full_baseline_20260709_174415,ces,output_gap_bn_core_full,baseline,unrestricted,sigma_zeta,reported physical units,0.5795317210738797,0.037219123600848114,0.5117740240167173,0.6601044208669529
ces_output_gap_bn_core_post_2008_baseline_20260709_174417,ces,output_gap_bn_core_post_2008,baseline,unrestricted,alpha,share,0.6651098946949454,0.14430936974069183,0.382095213731829,0.9378728207145378
ces_output_gap_bn_core_post_2008_baseline_20260709_174417,ces,output_gap_bn_core_post_2008,baseline,unrestricted,kappa,inflation points per x point,0.01811519055220831,0.07402401962980577,-0.12732757537626777,0.16739441122863014
