parameter,ces,hsa_steady,hsa_dynamic,hsa_full
alpha,"0.672 [0.556, 0.785]","0.657 [0.541, 0.771]","0.636 [0.511, 0.758]","0.604 [0.484, 0.725]"
kappa,"0.059 [-0.025, 0.144]",,"0.084 [-0.009, 0.181]",
kappa_0,,"0.046 [-0.043, 0.133]",,"0.088 [-0.009, 0.179]"
delta,,"-0.023 [-0.056, 0.010]",,"-0.022 [-0.051, 0.015]"
theta,,,"0.117 [-0.356, 0.646]",
theta_0,,,,"0.076 [-0.283, 0.538]"
gamma,,,,"0.001 [-0.036, 0.033]"
rho_1,,"0.736 [0.364, 1.047]","0.912 [0.664, 1.118]","0.988 [0.756, 1.216]"
rho_2,,"-0.028 [-0.319, 0.242]","0.017 [-0.177, 0.235]","-0.042 [-0.257, 0.179]"
phi_1,"0.915 [0.848, 0.982]","0.915 [0.853, 0.978]","0.916 [0.855, 0.979]","0.914 [0.850, 0.977]"
lambda_ez,"0.010 [-0.220, 0.237]","-0.003 [-0.224, 0.225]",,"-0.022 [-0.250, 0.196]"
n,,"-0.021 [-0.079, 0.039]","-0.025 [-0.079, 0.025]","-0.030 [-0.100, 0.039]"
