run,model,parameter,posterior_mean,posterior_sd,ci_2.5,ci_97.5
ces_output_gap_bn_baseline_20260622_131732,ces,alpha,0.6692136714203483,0.0691611544744983,0.543669586650651,0.7835331826591645
ces_output_gap_bn_baseline_20260622_131732,ces,kappa,0.06227667458106645,0.049335296388909426,-0.005924679878595865,0.1763827356136615
ces_output_gap_bn_baseline_20260622_131732,ces,phi_1,0.9192163635772148,0.036930237832872775,0.8377807352111615,0.9702937456697033
ces_output_gap_bn_baseline_20260622_131732,ces,lambda_ez,-0.008516941295972351,0.10994557897561139,-0.20471227847713042,0.2213802913804369
hsa_dynamic_output_gap_bn_baseline_20260622_131735,hsa_dynamic,alpha,0.6417288070153944,0.05720888981434991,0.5407378701465779,0.7302139318812234
hsa_dynamic_output_gap_bn_baseline_20260622_131735,hsa_dynamic,kappa,0.08121150220326542,0.040568210328920475,-0.0036598290783490315,0.15032842600419924
hsa_dynamic_output_gap_bn_baseline_20260622_131735,hsa_dynamic,theta,0.008900221570465047,0.003481833095518692,0.0011321684087000291,0.01438802060295853
hsa_dynamic_output_gap_bn_baseline_20260622_131735,hsa_dynamic,phi_1,0.9069454271011039,0.026284529469978373,0.8612977331642516,0.9529497540440052
hsa_dynamic_output_gap_bn_baseline_20260622_131735,hsa_dynamic,rho_1,1.862153551986514,0.03600718785355616,1.793727971115525,1.913046093808195
hsa_dynamic_output_gap_bn_baseline_20260622_131735,hsa_dynamic,rho_2,-0.8656950200688373,0.035811623377506985,-0.916677845297475,-0.7965863844418942
hsa_dynamic_output_gap_bn_baseline_20260622_131735,hsa_dynamic,n,-0.026320749709305154,0.07330123215650781,-0.15019416971600097,0.10596228484783264
hsa_full_output_gap_bn_baseline_20260622_131737,hsa_full,alpha,0.6623576043897899,0.05465698419048067,0.5625316885811991,0.7575000641226114
hsa_full_output_gap_bn_baseline_20260622_131737,hsa_full,kappa_0,0.24757691913077357,0.18427885399526928,-0.03924071823703064,0.5474474790341604
hsa_full_output_gap_bn_baseline_20260622_131737,hsa_full,delta,-0.0009645121901654174,0.0009532318497475304,-0.002309143664778376,0.000511656948244175
hsa_full_output_gap_bn_baseline_20260622_131737,hsa_full,theta_0,0.10090551818228528,0.17953359506409508,-0.1749177578254083,0.40862507672565257
hsa_full_output_gap_bn_baseline_20260622_131737,hsa_full,gamma,-0.0002556963812046744,0.0008574524550045054,-0.0017120268634425314,0.0011800777837351517
hsa_full_output_gap_bn_baseline_20260622_131737,hsa_full,phi_1,0.9162574007121542,0.028654083712475065,0.8724123795116379,0.9762617576762189
hsa_full_output_gap_bn_baseline_20260622_131737,hsa_full,rho_1,1.191203467174778,0.11279101286787234,1.0032212254267983,1.3881561003717557
hsa_full_output_gap_bn_baseline_20260622_131737,hsa_full,rho_2,-0.26894766287337213,0.11958707960579942,-0.47016126012532533,-0.06665601766816096
hsa_full_output_gap_bn_baseline_20260622_131737,hsa_full,n,-0.08992746388225126,0.058961135291794135,-0.1805939440583239,0.03685983818406963
hsa_full_output_gap_bn_baseline_20260622_131737,hsa_full,lambda_ez,-0.013258271786921908,0.12404483066502509,-0.19455349251806323,0.2723242997373283
hsa_steady_output_gap_bn_baseline_20260622_131733,hsa_steady,alpha,0.6551779808056757,0.06616741713025731,0.5340335575192884,0.7544827809186169
hsa_steady_output_gap_bn_baseline_20260622_131733,hsa_steady,kappa_0,0.1364361197042062,0.19599096802808716,-0.2434797849121711,0.4294515073711298
hsa_steady_output_gap_bn_baseline_20260622_131733,hsa_steady,delta,-0.0004144635393631503,0.000955063799117975,-0.0017417970200029195,0.0016271055068464348
hsa_steady_output_gap_bn_baseline_20260622_131733,hsa_steady,phi_1,0.9184303724722014,0.03126303909236539,0.8669232873738919,0.9739632988538164
hsa_steady_output_gap_bn_baseline_20260622_131733,hsa_steady,rho_1,1.802457607091473,0.05015762854883398,1.7002124528906268,1.893109316361288
hsa_steady_output_gap_bn_baseline_20260622_131733,hsa_steady,rho_2,-0.8061260424809141,0.05054834386140869,-0.899586080554971,-0.702759589716165
hsa_steady_output_gap_bn_baseline_20260622_131733,hsa_steady,n,-0.056693364184917536,0.07369620933668071,-0.19979146372772774,0.05878421737369246
hsa_steady_output_gap_bn_baseline_20260622_131733,hsa_steady,lambda_ez,0.0006547878023973289,0.095983549661666,-0.16140843181264816,0.1607722144248561
hsa_steady_output_gap_bn_baseline_20260622_132042,hsa_steady,alpha,0.6551779808056757,0.06616741713025731,0.5340335575192884,0.7544827809186169
hsa_steady_output_gap_bn_baseline_20260622_132042,hsa_steady,kappa_0,0.1364361197042062,0.19599096802808716,-0.2434797849121711,0.4294515073711298
hsa_steady_output_gap_bn_baseline_20260622_132042,hsa_steady,delta,-0.0004144635393631503,0.000955063799117975,-0.0017417970200029195,0.0016271055068464348
hsa_steady_output_gap_bn_baseline_20260622_132042,hsa_steady,phi_1,0.9184303724722014,0.03126303909236539,0.8669232873738919,0.9739632988538164
hsa_steady_output_gap_bn_baseline_20260622_132042,hsa_steady,rho_1,1.802457607091473,0.05015762854883398,1.7002124528906268,1.893109316361288
hsa_steady_output_gap_bn_baseline_20260622_132042,hsa_steady,rho_2,-0.8061260424809141,0.05054834386140869,-0.899586080554971,-0.702759589716165
hsa_steady_output_gap_bn_baseline_20260622_132042,hsa_steady,n,-0.056693364184917536,0.07369620933668071,-0.19979146372772774,0.05878421737369246
hsa_steady_output_gap_bn_baseline_20260622_132042,hsa_steady,lambda_ez,0.0006547878023973289,0.095983549661666,-0.16140843181264816,0.1607722144248561
hsa_steady_output_gap_bn_tight_20260622_132047,hsa_steady,alpha,0.635411577410317,0.06439075117275643,0.5449079823622188,0.773801558735725
hsa_steady_output_gap_bn_tight_20260622_132047,hsa_steady,kappa_0,0.13855283238680402,0.10668583728778301,-0.09292488195267955,0.3230335042771998
hsa_steady_output_gap_bn_tight_20260622_132047,hsa_steady,delta,-0.0005235499789184595,0.0006820412884710625,-0.0019740789096760456,0.000895763162148828
hsa_steady_output_gap_bn_tight_20260622_132047,hsa_steady,phi_1,0.8994879145793678,0.02819208648607538,0.8447456467480402,0.9391532191693369
hsa_steady_output_gap_bn_tight_20260622_132047,hsa_steady,rho_1,0.5634895993823372,0.1054155674660811,0.3514906620122842,0.7331365877716233
hsa_steady_output_gap_bn_tight_20260622_132047,hsa_steady,rho_2,-0.3715953030297884,0.11394509992867247,-0.5633954040632169,-0.16177478270960427
hsa_steady_output_gap_bn_tight_20260622_132047,hsa_steady,n,-0.019664403028532465,0.0443818366389172,-0.09689983052730139,0.05496098340032216
hsa_steady_output_gap_bn_tight_20260622_132047,hsa_steady,lambda_ez,-0.00938676218062186,0.10355769238340812,-0.20542251356642358,0.11698572951114176
hsa_steady_output_gap_bn_weak_20260622_132044,hsa_steady,alpha,0.6744368954789841,0.06031090759918985,0.5566625839515402,0.7893369170069344
hsa_steady_output_gap_bn_weak_20260622_132044,hsa_steady,kappa_0,0.3115006383168318,0.4374487262903605,-0.3882988896694281,1.070057990556687
hsa_steady_output_gap_bn_weak_20260622_132044,hsa_steady,delta,-0.0013103198917123527,0.0022639528792097107,-0.00539728489263916,0.002778227433574813
hsa_steady_output_gap_bn_weak_20260622_132044,hsa_steady,phi_1,0.9200997294011316,0.031539417417572754,0.8757469474790652,0.9852056313075715
hsa_steady_output_gap_bn_weak_20260622_132044,hsa_steady,rho_1,1.9130527833433564,0.038224382128188975,1.8480722806623646,1.9768425432169359
hsa_steady_output_gap_bn_weak_20260622_132044,hsa_steady,rho_2,-0.9171759504667806,0.03851864873299013,-0.9796041715664023,-0.8540454449517723
hsa_steady_output_gap_bn_weak_20260622_132044,hsa_steady,n,-0.15242229916395544,0.10283376367493814,-0.33658713972442195,0.007169289485479211
hsa_steady_output_gap_bn_weak_20260622_132044,hsa_steady,lambda_ez,0.008756495449063132,0.08637738961704604,-0.13026059900178152,0.19751408230569895
