parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.638865991095315,0.05057520857952264,0.5556489232029649,0.7145434859738802,,,,,
kappa,0.06216614588474643,0.04719680342422936,-0.020637936948805398,0.13296984424676062,,,,,
phi_1,0.8900972633187413,0.028015059228339776,0.840536926091394,0.9389842667437992,,,,,
lambda_ez,-0.017343018915715276,0.09170109725069371,-0.1794400682828545,0.17553084033739552,,,,,
rho,-0.013893433668484573,0.07544638159707104,-0.1357002218320824,0.15080432172862152,,,,,
sigma_e,0.6698012565095339,0.04840681643330529,0.5907966855064849,0.7669943244835997,,,,,
sigma_zeta,0.5761891978390206,0.03329794532842686,0.5291035868183739,0.641460422008543,,,,,
