severity,parameter,warning
warning,theta_t_start,tail ESS 397.8 < 400
warning,theta_t_mid,tail ESS 330.4 < 400
warning,rho_1,R-hat 1.112 > 1.01
warning,rho_1,bulk ESS 39.2 < 400
warning,rho_1,tail ESS 22.0 < 400
warning,rho_2,R-hat 1.091 > 1.01
warning,rho_2,bulk ESS 13.0 < 400
warning,rho_2,tail ESS 22.0 < 400
warning,n,R-hat 1.024 > 1.01
warning,n,bulk ESS 108.8 < 400
warning,n,tail ESS 185.4 < 400
warning,sigma_u,R-hat 1.021 > 1.01
warning,sigma_u,bulk ESS 60.8 < 400
warning,sigma_u,tail ESS 50.4 < 400
warning,sigma_eps,R-hat 1.048 > 1.01
warning,sigma_eps,bulk ESS 39.1 < 400
warning,sigma_eps,tail ESS 53.9 < 400
