run,model,data_spec,prior_spec,constraint_spec,n_transform,log_marginal_likelihood,bayes_factor_vs_baseline,sddr_delta_bf01,sddr_theta_bf01,sddr_theta0_bf01,sddr_gamma_bf01,predictive_score,posterior_predictive_rmse,notes,log_likelihood,log_prior,log_posterior_ordinate,n_draws,method
ces_output_gap_hp_baseline_annual_q4_20260702_132605,ces,output_gap_hp,baseline,unrestricted,log100_centered10,-239.35828591709202,1.0,,,,,-113.8616434444211,0.6055276843063826,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-221.18858781279081,-5.872139014940885,12.29755908936034,40,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_dynamic_output_gap_hp_baseline_annual_q4_20260702_132608,hsa_dynamic,output_gap_hp,baseline,unrestricted,log100_centered10,886.5713240350724,inf,,1.3683240148642024,,,-111.91592673827776,0.5959681480959244,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-165.55655936279143,1.7939898081377643,-1050.3338935897261,40,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_full_output_gap_hp_baseline_annual_q4_20260702_132612,hsa_full,output_gap_hp,baseline,unrestricted,log100_centered10,-120.09521758491641,6.24155025283008e+51,1.1194525395310195,,1.1092964728449601,0.8654370476653382,-113.68901925553942,0.6036444284653882,SDDR uses run-specific saved priors and physical-unit posterior draws. HSA full Chib is conditional on posterior mean latent states because the full observation equation is nonlinear in Nhat and Nbar. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-113.73151426016958,6.634063737279585,12.997767062026432,40,"Conditional Chib 1995 for HSA full inflation equation, conditioned on posterior mean latent states"
hsa_steady_output_gap_hp_baseline_annual_q4_20260702_132606,hsa_steady,output_gap_hp,baseline,unrestricted,log100_centered10,1018.9559334270928,inf,0.8322676486114978,,,,-114.15880231692601,0.6060533572819605,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-190.55300713582108,8.67146324116749,-1200.8374773217463,40,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
