"date","GDPC1_original_series","GDPC1_transformed_series","trend","cycle","cycle_conf_int_lower_bound","cycle_conf_int_upper_bound","trend_conf_int_lower_bound","trend_conf_int_upper_bound"
"1947-01-01","2184.614","768.91943359375","770.3266910481915","-1.4072574544415093","-6.738317184818532","3.9238022759355142","764.9956313178145","775.6577507785685"
"1948-01-01","2274.627","772.9571533203125","773.6590610669933","-0.7019077466807805","-6.032967477057804","4.629151983696243","768.3280013366164","778.9901207973703"
"1949-01-01","2261.928","772.3972778320312","776.4071823056365","-4.009904473605291","-9.340964203982313","1.3211552567717328","771.0761225752595","781.7382420360135"
"1950-01-01","2458.532","780.7319946289062","779.6736424773649","1.0583521515414285","-4.272707578835595","6.389411881918452","774.3425827469879","785.0047022077418"
"1951-01-01","2656.32","788.4697265625","783.9279882664671","4.541738296032924","-0.7893214343440995","9.872798026409948","778.5969285360901","789.2590479968441"
"1952-01-01","2764.803","792.4724731445312","788.5910809039168","3.881392240614397","-1.4496674897626267","9.21245197099142","783.2600211735398","793.9221406342938"
"1953-01-01","2894.412","797.0537109375","793.4111725859193","3.642538351580731","-1.6885213787962927","8.973598081957753","788.0801128555423","798.7422323162963"
"1954-01-01","2877.708","796.4749145507812","797.6762928274246","-1.2013782766433603","-6.532438007020383","4.129681453733664","792.3452330970476","803.0073525578016"
"1955-01-01","3083.026","803.36669921875","801.8344681753321","1.532231043417984","-3.7988286869590393","6.863290773795008","796.5034084449551","807.165527905709"
"1956-01-01","3148.765","805.4765625","805.760759432288","-0.2841969322879423","-5.615256662664966","5.046862798089081","800.429699701911","811.0918191626649"
"1957-01-01","3215.065","807.560302734375","808.956549002004","-1.3962462676288987","-6.727305998005923","3.934813462748125","803.625489271627","814.2876087323809"
"1958-01-01","3191.216","806.8157348632812","811.3931672863118","-4.577432423030542","-9.908492153407565","0.7536273073464814","806.0621075559349","816.7242270166888"
"1959-01-01","3412.421","813.5177001953125","814.2175728409637","-0.6998726456512279","-6.030932376028251","4.631187084725796","808.8865131105867","819.5486325713407"
"1960-01-01","3500.273","816.0596313476562","817.1415721343594","-1.081940786703168","-6.413000517080191","4.249118943673856","811.8105124039824","822.4726318647364"
"1961-01-01","3590.066","818.5925903320312","820.0055993499706","-1.4130090179392776","-6.744068748316301","3.918050712437746","814.6745396195936","825.3366590803475"
"1962-01-01","3810.123","824.5416870117188","823.3621347698601","1.1795522418586974","-4.151507488518326","6.510611972235721","818.0310750394831","828.693194500237"
"1963-01-01","3976.142","828.8067016601562","827.2607145589253","1.5459871012309399","-3.7850726291460837","6.877046831607963","821.9296548285483","832.5917742893023"
"1964-01-01","4205.277","834.4095458984375","831.4488869025412","2.960658995896289","-2.3704007344807345","8.291718726273313","826.1178271721642","836.7799466329182"
"1965-01-01","4478.555","840.70556640625","836.3809967859024","4.3245696203476145","-1.006490110029409","9.655629350724638","831.0499370555254","841.7120565162794"
"1966-01-01","4773.931","847.092529296875","841.724696563234","5.367832733640999","0.03677300326397592","10.698892464018023","836.393636832857","847.055756293611"
"1967-01-01","4904.864","849.7982788085938","846.8415342333112","2.9567445752825705","-2.374315155094453","8.287804305659595","841.5104745029342","852.1725939636882"
"1968-01-01","5145.914","854.5958251953125","851.8021016232699","2.7937235720426616","-2.537336158334362","8.124783302419685","846.4710418928929","857.1331613536469"
"1969-01-01","5306.595","857.6705932617188","856.4518303744971","1.21876288722158","-4.112296843155443","6.549822617598604","851.1207706441202","861.7828901048741"
"1970-01-01","5316.391","857.85498046875","860.0603621181","-2.2053816493499876","-7.536441379727011","3.125678081027036","854.729302387723","865.391421848477"
"1971-01-01","5491.446","861.0946655273438","863.131981296993","-2.0373157696492634","-7.368375500026287","3.29374396072776","857.800921566616","868.46304102737"
"1972-01-01","5780.048","866.2167358398438","866.4239214620934","-0.20718562224967121","-5.538245352626695","5.123874108127352","861.0928617317164","871.7549811924704"
"1973-01-01","6106.371","871.7088012695312","870.0279809047537","1.6808203647775506","-3.650239365599473","7.011880095154574","864.6969211743767","875.3590406351307"
"1974-01-01","6073.363","871.166748046875","873.1567550442043","-1.9900069973292454","-7.321066727706269","3.3410527330477784","867.8256953138273","878.4878147745812"
"1975-01-01","6060.875","870.9609375","875.5718959685009","-4.610958468500975","-9.942018198878","0.7201012618760485","870.240836238124","880.9029556988779"
"1976-01-01","6387.437","876.2088623046875","878.206249708521","-1.9973874038334465","-7.32844713421047","3.333672326543577","872.875189978144","883.537309438898"
"1977-01-01","6682.805","880.7293090820312","881.1313096691847","-0.40200058715342313","-5.733060317530446","4.929059143223601","875.8002499388077","886.4623693995617"
"1978-01-01","7052.711","886.1167602539062","884.5121691785369","1.6045910753694463","-3.726468655007577","6.935650805746469","879.1811094481599","889.8432289089138"
"1979-01-01","7275.999","889.233642578125","888.2024768209112","1.0311657572137525","-4.299893973163271","6.362225487590776","882.8714170905342","893.5335365512882"
"1980-01-01","7257.317","888.9765625","891.3595906324558","-2.3830281324557703","-7.714087862832794","2.9480315979212532","886.0285309020788","896.6906503628328"
"1981-01-01","7441.485","891.4825439453125","894.2250549744995","-2.742511029186964","-8.073570759563987","2.5885487011900596","888.8939952441225","899.5561147048764"
"1982-01-01","7307.314","889.6630859375","896.1604850742548","-6.497399136754765","-11.82845886713179","-1.166339406377742","890.8294253438778","901.4915448046318"
"1983-01-01","7642.266","894.1449584960938","897.9366277281866","-3.7916692320928647","-9.122728962469889","1.5393904982841589","892.6055679978097","903.2676874585636"
"1984-01-01","8195.295","901.1315307617188","900.5727901940877","0.5587405676309919","-4.772319162746031","5.889800298008016","895.2417304637107","905.9038499244647"
"1985-01-01","8537.004","905.216552734375","903.8089733286539","1.4075794057211484","-3.923480324655875","6.738639136098172","898.4779135982769","909.1400330590309"
"1986-01-01","8832.611","908.62060546875","907.4275928368626","1.193012631887431","-4.138047098489593","6.524072362264454","902.0965331064856","912.7586525672396"
"1987-01-01","9137.745","912.0169067382812","911.3346229775017","0.682283760779584","-4.648775969597439","6.013343491156608","906.0035632471247","916.6656827078787"
"1988-01-01","9519.427","916.1090087890625","915.2968235488007","0.8121852402617914","-4.450388097668681","6.074758578192264","910.0342502108703","920.5593968867312"
"1989-01-01","9869.003","919.7153930664062","919.2124039224101","0.5029891439961658","-4.678481379549337","5.6844596675416685","914.0309333988646","924.3938744459556"
"1990-01-01","10055.129","921.5838012695312","922.6769027585045","-1.09310148897327","-6.471919241484855","4.2857162635383155","917.2980850059929","928.0557205110161"
"1991-01-01","10044.238","921.4754638671875","925.3718860884061","-3.8964222212185855","-9.489742851433215","1.6968984089960437","919.7785654581915","930.9652067186207"
"1992-01-01","10398.046","924.9373168945312","927.7895440234633","-2.852227128932088","-8.472598128582227","2.7681438707180517","922.1691730238132","933.4099150231135"
"1993-01-01","10684.179","927.6519165039062","930.1544434199882","-2.502526916081895","-7.553350036611574","2.548296204447784","925.1036202994585","935.2052665405179"
"1994-01-01","11114.646","931.6019287109375","932.6811847397603","-1.0792560288227826","-6.084170420311272","3.9256583626657076","927.6762703482718","937.6860991312487"
"1995-01-01","11413.012","934.2509155273438","935.3000803860821","-1.0491648587383362","-6.120938216784239","4.022608499307568","930.2283070280362","940.371853744128"
"1996-01-01","11843.599","937.9542846679688","938.2029598366197","-0.2486751686509091","-4.722945808298228","4.22559547099641","933.7286891969724","942.677230476267"
"1997-01-01","12370.3","942.3053588867188","941.4996374515805","0.8057214351382752","-3.568327386655094","5.179770256931644","937.1255886297871","945.8736862733739"
"1998-01-01","12924.876","946.69091796875","945.1932791337348","1.497638835015155","-2.9840429702105924","5.9793206402409025","940.711597328509","949.6749609389606"
"1999-01-01","13543.774","951.3682250976562","949.1803797568788","2.1878453407775025","-2.206045190203837","6.581735871758842","944.7864892258974","953.5742702878601"
"2000-01-01","14096.033","955.3648681640625","953.357073005743","2.0077951583195057","-1.9217772627340004","5.937367579373012","949.4275005846895","957.2866454267966"
"2001-01-01","14230.726","956.3158569335938","957.0363783902349","-0.7205214566410866","-4.399877109539153","2.95883419625698","953.3570227373368","960.7157340431329"
"2002-01-01","14472.712","958.0020141601562","960.2012877768782","-2.199273616721885","-5.828412775828296","1.4298655423845257","956.5721486177717","963.8304269359846"
"2003-01-01","14877.313","960.75927734375","963.0149312903341","-2.2556539465841037","-5.904587949734493","1.3932800565662853","959.3659972871836","966.6638652934845"
"2004-01-01","15449.757","964.5348510742188","965.7575031969283","-1.2226521227095537","-4.821644938135053","2.376340692715946","962.1585103815028","969.3564960123538"
"2005-01-01","15987.958","967.9591064453125","968.5248664650164","-0.5657600197039269","-4.128737808958395","2.9972177695505406","964.961888675762","972.0878442542709"
"2006-01-01","16433.148","970.70556640625","971.3378838415761","-0.6323174353260301","-4.183476261677832","2.9188413910257722","967.7867250152243","974.8890426679278"
"2007-01-01","16762.446","972.6896362304688","974.041339066944","-1.3517028364752615","-4.930578871600034","2.2271731986495102","970.4624630318193","977.6202151020688"
"2008-01-01","16781.485","972.8031616210938","976.2450219644828","-3.441860343389091","-6.871632470579862","-0.012088216198320012","972.8152498372921","979.6747940916736"
"2009-01-01","16349.111","970.19287109375","977.3373366434685","-7.144465549718484","-11.052474504900445","-3.2364565945365245","973.4293276882865","981.2453455986504"
"2010-01-01","16789.751","972.8524169921875","978.166872998994","-5.314456006806488","-8.66364996113843","-1.9652620524745452","974.8176790446621","981.5160669533259"
"2011-01-01","17052.411","974.4046630859375","978.9526529992252","-4.547989913287706","-8.209969085068419","-0.8860107415069938","975.2906738274445","982.6146321710058"
"2012-01-01","17442.759","976.66796875","979.8775413030878","-3.209572553087769","-6.675628940009066","0.2564838338335278","976.4114849161665","983.3435976900091"
"2013-01-01","17812.167","978.7637329101562","981.1475316165709","-2.3837987064146526","-5.837818350353606","1.0702209375243004","977.6935119726319","984.6015512605098"
"2014-01-01","18261.714","981.2562255859375","982.8404575750322","-1.5842319890947376","-5.056694403233112","1.8882304250436368","979.3679951608939","986.3129199891706"
"2015-01-01","18799.622","984.1591796875","984.8829751183553","-0.7237954308552933","-4.198018710605744","2.7504278488951575","981.4087518386048","988.3571983981058"
"2016-01-01","19141.672","985.9622802734375","987.0741530878001","-1.1118728143626087","-4.553927695004927","2.3301820662797104","983.6320982071578","990.5162079684425"
"2017-01-01","19612.103","988.3901977539062","989.2998185005421","-0.9096207466357727","-4.383501462369842","2.564259969098296","985.825937784808","992.7736992162761"
"2018-01-01","20193.895","991.3135375976562","991.6848357264302","-0.3712981287739416","-3.8446825607774375","3.1020863032295543","988.2114512944266","995.1582201584337"
"2019-01-01","20715.672","993.8645629882812","994.0911537308896","-0.2265907426083329","-3.2962916902356607","2.843110205018995","991.0214527832622","997.1608546785169"
"2020-01-01","20267.585","991.6777954101562","995.7751306842613","-4.097335274105011","-7.759450290201403","-0.4352202580086191","992.1130156681648","999.4372457003577"
"2021-01-01","21494.798","997.556640625","997.8148831952966","-0.25824257029656317","-3.946177097147922","3.4296919565547954","994.1269486684453","1001.5028177221479"
"2022-01-01","22034.829","1000.0379638671875","1000.1489818709746","-0.11101800378707755","-3.828273468529656","3.6062374609555015","996.431726406232","1003.8662373357172"
"2023-01-01","22671.097","1002.8846435546875","1002.5658567771949","0.3187867774926446","-3.3647606268191748","4.002334181804464","998.882309372883","1006.2494041815067"
