run,model,data_spec,prior_spec,constraint_spec,n_transform,log_marginal_likelihood,bayes_factor_vs_baseline,sddr_delta_bf01,sddr_theta_bf01,sddr_theta0_bf01,sddr_gamma_bf01,predictive_score,posterior_predictive_rmse,notes,log_likelihood,log_prior,log_posterior_ordinate,n_draws,method
ces_inv_markup_tight_20260623_002003,ces,inv_markup,tight,unrestricted,log100_centered10,-225.99475501060343,1.0,,,,,-122.6746685500415,0.6484326571254954,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib uses legacy prior ordinates and should be checked before publication.,-211.09681483183897,-4.486640575271625,10.411299603492834,3200.0,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_dynamic_inv_markup_tight_20260623_003726,hsa_dynamic,inv_markup,tight,unrestricted,log100_centered10,,,,1.0080612918539673,,,-121.9860874482129,0.6468161773832908,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib unavailable: 'Missing posterior variable: lambda_ez',,,,,
hsa_full_inv_markup_tight_20260623_004648,hsa_full,inv_markup,tight,unrestricted,log100_centered10,,,1.0282443917493533,,0.8812880676969426,1.0295864476077836,-122.04793815194958,0.6452774238951379,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib unavailable for HSA full in the current legacy implementation.,,,,,
hsa_steady_inv_markup_tight_20260623_002656,hsa_steady,inv_markup,tight,unrestricted,log100_centered10,-314.6875342152428,3.028415126536573e-39,0.9580283773307092,,,,-122.66190283933378,0.6483828662817913,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib uses legacy prior ordinates and should be checked before publication.,-281.7365585819915,-14.808658958288301,18.142316674963013,3200.0,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
