data_spec,period,n,alpha_ols,kappa_ols,corr_x_y,x_mean,x_sd
inv_markup,pre_2000,72,0.7188940655230628,-0.10273549702895139,0.04716714978312923,0.017359258156450303,0.5756846260809552
inv_markup,post_2000,52,0.5887946393517992,0.041558275609832315,0.22494406358041555,-0.18035075981811988,0.7263114047532166
inv_markup,pre_2008,104,0.7074334499317918,-0.0460527954309583,-0.0038573218053358166,-0.05566568082165993,0.6208515924775756
inv_markup,post_2008,20,0.5619485451901058,0.08557157668912584,0.3081481624208709,-0.11695710589125911,0.789718058027893
output_gap_bn,pre_2000,72,0.743129018885406,0.028852540639781207,-0.5457595780642037,0.25610921097937456,1.5056736344140667
output_gap_bn,post_2000,52,0.605356932798877,0.13993566248486647,0.3944681398224452,-0.8053781411825753,1.3479303842259147
output_gap_bn,pre_2008,104,0.7360375957578847,0.03406710177334802,-0.43616368716696047,0.022638520766048956,1.3880211458082
output_gap_bn,post_2008,20,0.5891938082836291,0.16171042919372303,0.45950003751497426,-1.2897103155324021,1.7817001602002953
output_gap_hp,pre_2000,72,0.7792914635188369,0.1752767442083085,-0.03627950314800798,-0.18420116168385745,1.3805610003742381
output_gap_hp,post_2000,52,0.5284265380262009,0.22170962505594324,0.4804796523994449,-0.041149262263135054,1.3575836954384999
output_gap_hp,pre_2008,104,0.7406589886716266,0.1488792752947344,0.10487983831154149,-0.03756880966583071,1.3678873928019575
output_gap_hp,post_2008,20,0.4799134085974927,0.3713661450045271,0.7722142893610952,-0.5747544536837182,1.3052424242631417
labor_share_gap_hp,pre_2000,72,0.6997860493972564,0.0296682885561157,0.371665392351298,-0.09386075628940442,0.9750607595672605
labor_share_gap_hp,post_2000,52,0.6000307411197647,-0.059519155228025415,-0.0102583377813102,0.12734883931646396,1.2524423216909617
labor_share_gap_hp,pre_2008,104,0.7003503319996202,0.01717415387910564,0.23148472853604912,-0.01798288881417147,1.0429300056833084
labor_share_gap_hp,post_2008,20,0.5974365846785049,-0.11812460114425641,0.0881148283228465,0.08671928141464207,1.3909892870082177
unemployment_gap,pre_2000,72,0.7130594318525668,0.16996441987326882,0.1077633831793708,-0.7669178315694444,1.3492469379801457
unemployment_gap,post_2000,52,0.5916509269013405,-0.008447142825476971,0.17599403323041804,-1.2947304418269228,1.9601084770625241
unemployment_gap,pre_2008,104,0.7023222154523285,0.15954465856753836,0.20807375678869688,-0.5334333033269231,1.2382793871426299
unemployment_gap,post_2008,20,0.57076387153503,-0.013353692398372861,0.5194951109872453,-3.3533501650999993,1.491857672671117
