data_spec,n_obs,x_mean,x_sd,x_min,x_max,corr_x_y,corr_x_a,corr_x_N,ols_alpha_on_a,ols_kappa_on_x,ols_r2,model,run,delta_mean,delta_sd,p_delta_gt0,kappa0_mean,kappa0_sd,p_kappa0_gt0,corr_kappa0_delta,kappa_t_mean,p_all_kappa_t_gt0,kappa_t_min_meanpath,Nbar_mean_sd,Nbar_mean_start,Nbar_mean_end,corr_x_xNbar,corr_a_xNbar,sd_xNbar,design_cond_a_x_xNbar,Nhat_mean_sd
inv_markup,124,-0.06555139454256304,0.6477885600931981,-1.4583674517151115,1.7483053007940648,0.07472399386701742,0.13061870263300104,0.1690267112771235,0.6507811208835174,-0.025360163620759876,0.5592659770785071,hsa_steady,hsa_steady_inv_markup_baseline_20260623_002005,-0.00312055868067384,0.01893769871053993,0.4278125,0.01013161502826852,0.11621575744697198,0.53125,0.03322167356188927,0.009576191401436032,0.3890625,0.004016507725276161,1.5200079879124062,0.31684792054063216,-2.643233115180334,-0.266092340140196,-0.1752513604666421,0.9617197475819433,1.3799834223037346,0.2135878442302967
inv_markup,124,-0.06555139454256304,0.6477885600931981,-1.4583674517151115,1.7483053007940648,0.07472399386701742,0.13061870263300104,0.1690267112771235,0.6507811208835174,-0.025360163620759876,0.5592659770785071,hsa_full,hsa_full_inv_markup_baseline_20260623_004058,-0.001961079843739374,0.01947627454378842,0.465625,0.03570528601637563,0.12185201980641705,0.6128125,-0.008236507641669402,0.03585384531215589,0.49375,0.03268235006705253,1.3947329890139901,0.16238294192899302,-2.5870538795895612,-0.32470604132832953,-0.1815618767699059,0.9024836230539899,1.4641315724013189,0.3308835329077451
output_gap_bn,124,-0.1890306463788625,1.5292387330840123,-4.861442102694761,3.8704211405552993,-0.23436867357848448,-0.4123672430036555,0.3325309017758679,0.6839373857858182,0.06284679820460423,0.5671851403257456,hsa_steady,hsa_steady_output_gap_bn_baseline_20260623_004947,-0.022908768926576978,0.017032934665246757,0.09125,0.046057446759024415,0.045739413750545646,0.8428125,0.2670702721457108,0.04589103372358106,0.4178125,0.0018895927084005325,1.5497600636955644,0.0940026628309327,-2.662882916917855,-0.3176798809800721,-0.11455929578478531,2.101910599732537,1.8693011322477429,0.16696807093176552
output_gap_bn,124,-0.1890306463788625,1.5292387330840123,-4.861442102694761,3.8704211405552993,-0.23436867357848448,-0.4123672430036555,0.3325309017758679,0.6839373857858182,0.06284679820460423,0.5671851403257456,hsa_full,hsa_full_output_gap_bn_baseline_20260623_011030,-0.021934211742128742,0.01693364121518273,0.1065625,0.08768732699329711,0.049103203632490156,0.96125,0.168157753773357,0.08575032276360012,0.555625,0.036223434690288075,1.8588508339677772,0.9469593740517454,-3.049864928502402,-0.17444426351171735,-0.19249265084578082,2.7205399847820733,1.7480466467305094,0.4488618115301009
output_gap_hp,124,-0.12421165547516741,1.3672562879304815,-4.798683828053129,2.3707497570451324,0.2097663898338098,-0.024568473655579907,0.09288911257889143,0.6537469863653016,0.16586125943730728,0.6133896361415327,hsa_steady,hsa_steady_output_gap_hp_baseline_20260623_105155,-0.01054362019021758,0.017363264353245048,0.266875,0.13533965048350402,0.04715203894823507,0.995625,0.1524575651980219,0.13549671091589413,0.93625,0.11553057077209755,1.5104829003229105,0.20694287867262331,-2.605925180839936,-0.27906017327321386,-0.25205605064479303,1.6958070321028282,1.4934890103419345,0.19608103497802712
output_gap_hp,124,-0.12421165547516741,1.3672562879304815,-4.798683828053129,2.3707497570451324,0.2097663898338098,-0.024568473655579907,0.09288911257889143,0.6537469863653016,0.16586125943730728,0.6133896361415327,hsa_full,hsa_full_output_gap_hp_baseline_20260623_105859,-0.011231073012576365,0.018264202224741743,0.2721875,0.13883720949489786,0.052031585236807266,0.9946875,0.14017916829470226,0.13983854571310564,0.9540625,0.12147820258157252,1.1596037669429458,-0.8218208861694285,-1.9000249215665406,-0.5575759409388059,-0.1229834527907271,1.4991889632474193,1.9233435169584499,0.5891660943629747
labor_share_gap_hp,124,-0.001095442003072512,1.1005522237029035,-1.8995237094521256,3.346140899307329,0.19064965480400728,0.2717395139330463,-0.06594089803376206,0.6522440324690053,-0.012717601223282462,0.5591750608885823,hsa_steady,hsa_steady_labor_share_gap_hp_baseline_20260623_110157,0.01564281844357553,0.018159968484682345,0.799375,-0.005810197263696932,0.08398164907454428,0.468125,0.004838305516180576,-0.006212376792568967,0.2478125,-0.047967516327314795,1.5436023374409227,0.21544889268413617,-2.668605832689307,-0.2668252109303455,-0.034877051274220784,1.6365369283857187,1.4827304845625182,0.19078973073093836
labor_share_gap_hp,124,-0.001095442003072512,1.1005522237029035,-1.8995237094521256,3.346140899307329,0.19064965480400728,0.2717395139330463,-0.06594089803376206,0.6522440324690053,-0.012717601223282462,0.5591750608885823,hsa_full,hsa_full_labor_share_gap_hp_baseline_20260623_110901,0.00898595499932799,0.018590352223579482,0.6834375,-0.002926819452816327,0.08327482638867173,0.479375,0.0911610086244069,-0.004814103662618697,0.3071875,-0.021140611199935214,1.124981780990113,-1.738580895107927,-1.9223395900973028,-0.5489486081121316,-0.29933919564326184,1.3485724563255541,1.9790004428339019,0.7775703542278086
unemployment_gap,124,-0.9882586036129032,1.6468940218351686,-5.397433521000001,1.37476733,0.07566699017332697,-0.02941362694855103,0.4160871461154134,0.6512523175358854,0.059588513346258115,0.572757434524573,hsa_steady,hsa_steady_unemployment_gap_baseline_20260623_011916,0.028689575637517128,0.014151219246101788,0.9784375,0.09129553734684104,0.0407926300716598,0.989375,0.4108275138339317,0.09245494106689,0.460625,0.006473679110186133,1.6254686202056303,1.062721871865913,-2.907621993597136,-0.528346249059875,0.058351030784173114,3.9696957096485597,1.8058699218290712,0.39418131332467526
unemployment_gap,124,-0.9882586036129032,1.6468940218351686,-5.397433521000001,1.37476733,0.07566699017332697,-0.02941362694855103,0.4160871461154134,0.6512523175358854,0.059588513346258115,0.572757434524573,hsa_full,hsa_full_unemployment_gap_baseline_20260623_014002,0.018312380744689615,0.02022229662343651,0.8225,0.07655548852776327,0.04734351228293651,0.9515625,0.19280196633785412,0.08508651961803773,0.5659375,0.028223033932517426,1.4436714362870813,1.1935694289059045,-2.2647439265448446,-0.41767043525847136,0.0566071184885577,3.1960082391594216,1.5662564711771296,0.44480208394684156
