"date","original_series","transformed_series","trend","cycle"
"1947-01-01","0.653569","65.35689544677734","65.2245347324651","0.13236071431224006"
"1947-04-01","0.660537","66.05370330810547","65.30224565797255","0.7514576501329245"
"1947-07-01","0.659744","65.97440338134766","65.41850903724884","0.5558943440988208"
"1947-10-01","0.656917","65.69169616699219","65.49197507582262","0.1997210911695615"
"1948-01-01","0.645978","64.59779357910156","65.41222362664284","-0.8144300475412725"
"1948-04-01","0.635308","63.53080368041992","65.12453408234623","-1.5937304019263039"
"1948-07-01","0.643577","64.35769653320312","64.87741465592428","-0.5197181227211519"
"1948-10-01","0.651808","65.18080139160156","64.79656936206621","0.384232029535353"
"1949-01-01","0.647279","64.7279052734375","64.73344718187744","-0.0055419084399395335"
"1949-04-01","0.646463","64.64630126953125","64.66815642940875","-0.02185515987750813"
"1949-07-01","0.640267","64.02670288085938","64.5538510750209","-0.5271481941615322"
"1949-10-01","0.646522","64.6521987915039","64.48851406269661","0.16368472880729165"
"1950-01-01","0.641609","64.16090393066406","64.42010913696612","-0.2592052063020597"
"1950-04-01","0.639042","63.90420150756836","64.3072568568479","-0.40305534927953823"
"1950-07-01","0.625882","62.58820343017578","64.03255513175361","-1.444351701577825"
"1950-10-01","0.620339","62.033897399902344","63.64086347649686","-1.6069660765945166"
"1951-01-01","0.619499","61.94990158081055","63.22077544795588","-1.2708738671453312"
"1951-04-01","0.628461","62.846099853515625","62.94776121582415","-0.1016613623085262"
"1951-07-01","0.619937","61.99370193481445","62.686520721722054","-0.6928187869076018"
"1951-10-01","0.623462","62.3462028503418","62.493595493084804","-0.14739264274300398"
"1952-01-01","0.627390","62.7390022277832","62.427483802836015","0.3115184249471877"
"1952-04-01","0.634166","63.41659927368164","62.51582999037801","0.9007692833036349"
"1952-07-01","0.635968","63.5968017578125","62.6822461926995","0.9145555651129983"
"1952-10-01","0.640053","64.00529479980469","62.93242563760764","1.0728691621970434"
"1953-01-01","0.641958","64.19580078125","63.21396958988748","0.9818311913625182"
"1953-04-01","0.642241","64.2240982055664","63.48733525419755","0.7367629513688558"
"1953-07-01","0.648615","64.86150360107422","63.782322784040794","1.079180817033424"
"1953-10-01","0.649327","64.93270111083984","64.07008537319061","0.862615737649235"
"1954-01-01","0.651807","65.18070220947266","64.34011372606942","0.8405884834032308"
"1954-04-01","0.653792","65.37920379638672","64.60610415640235","0.7730996399843675"
"1954-07-01","0.644980","64.49800109863281","64.71036441412261","-0.2123633154897906"
"1954-10-01","0.644073","64.40730285644531","64.70351584899359","-0.29621299254827615"
