run,model,data_spec,prior_spec,constraint_spec,parameter,unit,mean,sd,ci_2.5,ci_97.5
hsa_dynamic_output_gap_hp_baseline_20260623_105525,hsa_dynamic,output_gap_hp,baseline,unrestricted,theta,inflation effect per +10 log-point Nhat deviation,0.16842315864174243,0.22337861083207355,-0.21630945041690194,0.5923692460169807
hsa_dynamic_output_gap_hp_baseline_restricted_kappa_20260623_111531,hsa_dynamic,output_gap_hp,baseline,restricted_kappa,Nbar,reported physical units,0.018818498748288743,1.5939484635621732,-2.757747187034074,2.729259703202895
hsa_dynamic_output_gap_hp_baseline_restricted_kappa_20260623_111531,hsa_dynamic,output_gap_hp,baseline,restricted_kappa,Nhat,reported physical units,-0.019099751596696225,0.8291058477500446,-1.971887566694896,1.5319865574146407
hsa_dynamic_output_gap_hp_baseline_restricted_kappa_20260623_111531,hsa_dynamic,output_gap_hp,baseline,restricted_kappa,Sigma,reported physical units,0.05013819742489873,0.1079459838782043,0.0,0.3671640160203683
hsa_dynamic_output_gap_hp_baseline_restricted_kappa_20260623_111531,hsa_dynamic,output_gap_hp,baseline,restricted_kappa,alpha,share,0.6389534919052042,0.05751800639237447,0.5225853652748593,0.7471226781928907
hsa_dynamic_output_gap_hp_baseline_restricted_kappa_20260623_111531,hsa_dynamic,output_gap_hp,baseline,restricted_kappa,corr_e_eps,reported physical units,0.0,0.0,0.0,0.0
hsa_dynamic_output_gap_hp_baseline_restricted_kappa_20260623_111531,hsa_dynamic,output_gap_hp,baseline,restricted_kappa,corr_e_u,reported physical units,0.0,0.0,0.0,0.0
hsa_dynamic_output_gap_hp_baseline_restricted_kappa_20260623_111531,hsa_dynamic,output_gap_hp,baseline,restricted_kappa,corr_e_zeta,reported physical units,0.10310717243447386,0.10356827556755699,-0.0968505919226782,0.3051223186444136
hsa_dynamic_output_gap_hp_baseline_restricted_kappa_20260623_111531,hsa_dynamic,output_gap_hp,baseline,restricted_kappa,corr_u_eps,reported physical units,0.0,0.0,0.0,0.0
hsa_dynamic_output_gap_hp_baseline_restricted_kappa_20260623_111531,hsa_dynamic,output_gap_hp,baseline,restricted_kappa,kappa,inflation points per x point,0.14135342471701015,0.04819679305320443,0.04964813408822545,0.2378368328810874
hsa_dynamic_output_gap_hp_baseline_restricted_kappa_20260623_111531,hsa_dynamic,output_gap_hp,baseline,restricted_kappa,n,Nbar drift in ten-log-point units,-0.02259621649342015,0.02456482043037564,-0.07164189933742825,0.024628887871160545
hsa_dynamic_output_gap_hp_baseline_restricted_kappa_20260623_111531,hsa_dynamic,output_gap_hp,baseline,restricted_kappa,phi_1,AR(1) coefficient,0.8984186889630047,0.03590544587498428,0.8307975870332162,0.9690315162858603
hsa_dynamic_output_gap_hp_baseline_restricted_kappa_20260623_111531,hsa_dynamic,output_gap_hp,baseline,restricted_kappa,rho_1,AR(2) coefficient,0.8873653717542085,0.14546088287448633,0.5241763527265987,1.1226133943786338
hsa_dynamic_output_gap_hp_baseline_restricted_kappa_20260623_111531,hsa_dynamic,output_gap_hp,baseline,restricted_kappa,rho_2,AR(2) coefficient,0.004591302830671094,0.10842802094209054,-0.21818237266592666,0.21625631032637294
hsa_dynamic_output_gap_hp_baseline_restricted_kappa_20260623_111531,hsa_dynamic,output_gap_hp,baseline,restricted_kappa,sigma_N,reported physical units,0.2514748314136589,0.020055604194352948,0.21592399356470074,0.29409458025680607
hsa_dynamic_output_gap_hp_baseline_restricted_kappa_20260623_111531,hsa_dynamic,output_gap_hp,baseline,restricted_kappa,sigma_e,reported physical units,0.5922281120592033,0.0402590419345003,0.5170609302612632,0.6757133097803345
hsa_dynamic_output_gap_hp_baseline_restricted_kappa_20260623_111531,hsa_dynamic,output_gap_hp,baseline,restricted_kappa,sigma_eps,reported physical units,0.20547155402696007,0.022171623766793703,0.16533635947957484,0.2538654256271311
hsa_dynamic_output_gap_hp_baseline_restricted_kappa_20260623_111531,hsa_dynamic,output_gap_hp,baseline,restricted_kappa,sigma_u,reported physical units,0.19478507969455364,0.020803417216852086,0.15794367294804135,0.23848018007275573
hsa_dynamic_output_gap_hp_baseline_restricted_kappa_20260623_111531,hsa_dynamic,output_gap_hp,baseline,restricted_kappa,sigma_zeta,reported physical units,0.5475531921821143,0.0340325889369224,0.4853579411704089,0.6191407920349604
hsa_dynamic_output_gap_hp_baseline_restricted_kappa_20260623_111531,hsa_dynamic,output_gap_hp,baseline,restricted_kappa,theta,inflation effect per +10 log-point Nhat deviation,0.1487446491005655,0.22420789331096527,-0.22315229737343104,0.5785956611075806
hsa_full_output_gap_hp_baseline_20260623_105859,hsa_full,output_gap_hp,baseline,unrestricted,Nbar,reported physical units,-0.04646149086686408,1.343494034746569,-2.5485525739729784,2.109988631822038
hsa_full_output_gap_hp_baseline_20260623_105859,hsa_full,output_gap_hp,baseline,unrestricted,Nhat,reported physical units,0.046361903321903424,0.9037597500290762,-1.8263182409183951,1.884404669874321
hsa_full_output_gap_hp_baseline_20260623_105859,hsa_full,output_gap_hp,baseline,unrestricted,alpha,share,0.6239764235964957,0.05919133814953424,0.5067913324755335,0.7388349845445145
hsa_full_output_gap_hp_baseline_20260623_105859,hsa_full,output_gap_hp,baseline,unrestricted,delta,change in kappa_t per +10 log-point Nbar deviation,-0.011231073012576365,0.018264202224741743,-0.04687784520266268,0.02430767213439897
hsa_full_output_gap_hp_baseline_20260623_105859,hsa_full,output_gap_hp,baseline,unrestricted,gamma,change in theta_t per +10 log-point Nbar deviation,-0.002779330430030347,0.020064165874198427,-0.04282769484620511,0.03599442785923343
hsa_full_output_gap_hp_baseline_20260623_105859,hsa_full,output_gap_hp,baseline,unrestricted,kappa_0,inflation points per x point at average Nbar,0.13883720949489786,0.052031585236807266,0.03534148419512691,0.23931490319352228
hsa_full_output_gap_hp_baseline_20260623_105859,hsa_full,output_gap_hp,baseline,unrestricted,kappa_t,inflation points per x point,0.13983854571310564,0.05842599555717957,0.024140802526835838,0.2544689849415775
hsa_full_output_gap_hp_baseline_20260623_105859,hsa_full,output_gap_hp,baseline,unrestricted,lambda_ez,shock loading,0.09875435983332924,0.11434666277635337,-0.13123922932214976,0.3255023550774916
hsa_full_output_gap_hp_baseline_20260623_105859,hsa_full,output_gap_hp,baseline,unrestricted,n,Nbar drift in ten-log-point units,-0.008296703946375885,0.02641365302133346,-0.061084298760907034,0.04399710398787305
hsa_full_output_gap_hp_baseline_20260623_105859,hsa_full,output_gap_hp,baseline,unrestricted,phi_1,AR(1) coefficient,0.8966351972674866,0.037258434579595885,0.8252585693953269,0.9719539972836514
hsa_full_output_gap_hp_baseline_20260623_105859,hsa_full,output_gap_hp,baseline,unrestricted,rho,reported physical units,0.09385229811670939,0.10766763509706119,-0.12580943040843903,0.30416068302941374
