data_spec,prior,parameter,mean,median,ci_2.5,ci_97.5,p_gt_0,p_lt_0,conclusion
output_gap_bn,baseline,alpha,0.6551779808056757,0.6674307706313631,0.5340335575192884,0.7544827809186169,1.0,0.0,
output_gap_bn,baseline,kappa_0,0.1364361197042062,0.18105199979144027,-0.2434797849121711,0.4294515073711298,0.8,0.2,
output_gap_bn,baseline,delta,-0.0004144635393631503,-0.0006174359746386434,-0.0017417970200029195,0.0016271055068464348,0.25,0.75,
output_gap_bn,baseline,rho_1,1.802457607091473,1.7995450605636987,1.7002124528906268,1.893109316361288,1.0,0.0,
output_gap_bn,baseline,rho_2,-0.8061260424809141,-0.8033069917385047,-0.899586080554971,-0.702759589716165,0.0,1.0,
output_gap_bn,baseline,sigma_e,0.6682918018108592,0.6673419460568375,0.6125672606423579,0.7438500500808953,1.0,0.0,
output_gap_bn,baseline,sigma_zeta,0.5836848462025291,0.5794123191673111,0.5208618842779479,0.644759793744131,1.0,0.0,
output_gap_bn,baseline,sigma_u,0.5134864300658093,0.5022398471423595,0.4415001200565278,0.6336516083708109,1.0,0.0,
output_gap_bn,baseline,sigma_eps,0.38479529814093827,0.3796964660067107,0.3123455870899782,0.48331779460547813,1.0,0.0,
output_gap_bn,baseline,sigma_N,0.29958995629755025,0.30187536679876825,0.25961719722064813,0.3364757769101719,1.0,0.0,
output_gap_bn,weak,alpha,0.6744368954789841,0.6901749847066458,0.5566625839515402,0.7893369170069344,1.0,0.0,
output_gap_bn,weak,kappa_0,0.3115006383168318,0.39003700973661015,-0.3882988896694281,1.070057990556687,0.75,0.25,
output_gap_bn,weak,delta,-0.0013103198917123527,-0.001600332595696823,-0.00539728489263916,0.002778227433574813,0.3,0.7,
output_gap_bn,weak,rho_1,1.9130527833433564,1.9077684910511044,1.8480722806623646,1.9768425432169359,1.0,0.0,
output_gap_bn,weak,rho_2,-0.9171759504667806,-0.9136432069051625,-0.9796041715664023,-0.8540454449517723,0.0,1.0,
output_gap_bn,weak,sigma_e,0.6544022202245907,0.6443698258159045,0.5987255833752875,0.7423669570315152,1.0,0.0,
output_gap_bn,weak,sigma_zeta,0.5774018747310582,0.5755771632826773,0.5283424132179562,0.6437659266576251,1.0,0.0,
output_gap_bn,weak,sigma_u,0.4021014632679372,0.40958276961018625,0.3226724173371821,0.47557938391306165,1.0,0.0,
output_gap_bn,weak,sigma_eps,0.29402716569259757,0.2876910704735942,0.23534516530263708,0.39803802532427235,1.0,0.0,
output_gap_bn,weak,sigma_N,0.2335430018973975,0.229286848879373,0.20190425676314808,0.28065423952729396,1.0,0.0,
output_gap_bn,tight,alpha,0.635411577410317,0.6330001124306959,0.5449079823622188,0.773801558735725,1.0,0.0,
output_gap_bn,tight,kappa_0,0.13855283238680402,0.1442300605746668,-0.09292488195267955,0.3230335042771998,0.875,0.125,
output_gap_bn,tight,delta,-0.0005235499789184595,-0.0004725593081940885,-0.0019740789096760456,0.000895763162148828,0.175,0.825,
output_gap_bn,tight,rho_1,0.5634895993823372,0.5611882518177547,0.3514906620122842,0.7331365877716233,1.0,0.0,
output_gap_bn,tight,rho_2,-0.3715953030297884,-0.39156852137975817,-0.5633954040632169,-0.16177478270960427,0.0,1.0,
output_gap_bn,tight,sigma_e,0.6685924942973711,0.6644290088306628,0.6190981171905716,0.7473140424686756,1.0,0.0,
output_gap_bn,tight,sigma_zeta,0.5663701021568354,0.5628047872724917,0.5151184418648702,0.6292379951556326,1.0,0.0,
output_gap_bn,tight,sigma_u,0.5522284359273865,0.5538858063772785,0.48029501558271576,0.6443324185813497,1.0,0.0,
output_gap_bn,tight,sigma_eps,1.256333359211832,1.2556726038200097,1.1291677849865744,1.4279572397164617,1.0,0.0,
output_gap_bn,tight,sigma_N,0.539292423291916,0.5354240195864282,0.44106386515760976,0.6387532942748825,1.0,0.0,
output_gap_bn,all,delta_robustness,,,,,,,robust
