"date","original_series","trend","cycle","cycle_conf_int_lower_bound","cycle_conf_int_upper_bound","trend_conf_int_lower_bound","trend_conf_int_upper_bound"
"1974-01-01","7.506463158","7.533821787595116","-0.027358736752830595","-0.04303223114438997","-0.01168524236127122","7.518148293203557","7.549495281986675"
"1975-01-01","7.830925363","7.654439840783239","0.17648562384688798","0.1608121294553286","0.19215911823844736","7.638766346391679","7.670113335174798"
"1976-01-01","7.94790183","7.745582521283067","0.2023192044859754","0.18664571009441602","0.21799269887753478","7.729909026891508","7.761256015674626"
"1977-01-01","7.816571719","7.7898337063496434","0.02673800614425277","0.011064511752693396","0.04241150053581215","7.774160211958084","7.805507200741203"
"1978-01-01","7.723607867","7.827814528180663","-0.1042065112128897","-0.11988000560444907","-0.08853301682133032","7.8121410337891035","7.843488022572222"
"1979-01-01","7.652880855","7.838469979453047","-0.18558931081290955","-0.20126280520446893","-0.16991581642135017","7.822796485061487","7.854143473844606"
"1980-01-01","7.638369347","7.844409860398116","-0.20604030015641692","-0.2217137945479763","-0.19036680576485754","7.828736366006557","7.860083354789675"
"1981-01-01","7.627547548","7.831336497784077","-0.20378875684779776","-0.21946225123935714","-0.18811526245623839","7.815663003392518","7.847009992175637"
"1982-01-01","7.642187753","7.818125772960954","-0.17593817759352232","-0.1916116719850817","-0.16026468320196294","7.802452278569395","7.833799267352513"
"1983-01-01","7.529611872","7.769265430480915","-0.23965336611934238","-0.25532686051090175","-0.223979871727783","7.7535919360893555","7.784938924872474"
"1984-01-01","7.516870317","7.747712394633413","-0.23084189597618615","-0.24651539036774553","-0.21516840158462677","7.732038900241854","7.763385889024972"
"1985-01-01","8.156625304","7.914683470295794","0.24194227738487","0.22626878299331063","0.25761577177642936","7.899009975904235","7.930356964687354"
"1986-01-01","9.259393644","8.28464581619588","0.9747478758207214","0.959074381429162","0.9904213702122808","8.26897232180432","8.30031931058744"
"1987-01-01","9.392948725","8.510845742515414","0.8821033617936681","0.8664298674021087","0.8977768561852275","8.495172248123854","8.526519236906974"
"1988-01-01","9.217964654","8.733557528316359","0.48440759772123837","0.468734103329679","0.5000810921127977","8.717884033924799","8.749231022707919"
"1989-01-01","8.890495121","8.848805688414393","0.04168961187857552","0.026016117487016144","0.0573631062701349","8.833132194022832","8.864479182805953"
"1990-01-01","8.749947506","8.945638963180967","-0.1956914152683689","-0.21136490965992827","-0.1800179208768095","8.929965468789407","8.961312457572527"
"1991-01-01","8.761076493","9.005250974020298","-0.24417404683523958","-0.25984754122679893","-0.2285005524436802","8.989577479628737","9.020924468411858"
"1992-01-01","8.856480807","9.034583174934326","-0.1781025764846195","-0.19377607087617887","-0.16242908209306012","9.018909680542766","9.050256669325886"
"1993-01-01","9.206341182","9.131333697110088","0.07500709268483302","0.05933359829327364","0.0906805870763924","9.115660202718528","9.147007191501649"
"1994-01-01","9.482441487","9.247994741552379","0.23444716060826593","0.21877366621670655","0.2501206549998253","9.232321247160819","9.263668235943939"
"1995-01-01","9.51580753","9.333062415112883","0.18274473668155036","0.16707124228999098","0.19841823107310974","9.317388920721323","9.348735909504443"
"1996-01-01","9.678590884","9.451227248668628","0.22736352586750438","0.211690031475945","0.24303702025906376","9.435553754277068","9.466900743060188"
"1997-01-01","9.572225706","9.495599793641784","0.07662577703692655","0.06095228264536717","0.09229927142848593","9.479926299250224","9.511273288033344"
"1998-01-01","9.067318137","9.431224852106963","-0.3639068894604788","-0.37958038385203813","-0.3482333950689194","9.415551357715403","9.446898346498523"
"1999-01-01","8.502079574","9.27197738318035","-0.7698974194962673","-0.7855709138878267","-0.7542239251047079","9.25630388878879","9.28765087757191"
"2000-01-01","7.952201139","9.004449516813327","-1.0522481503887677","-1.067921644780327","-1.0365746559972084","8.988776022421767","9.020123011204888"
"2001-01-01","7.378608106","8.622016671015228","-1.2434084442391047","-1.4411152323323613","-1.045701656145848","8.424309882921971","8.819723459108484"
"2002-01-01","6.896704748","8.182021900845436","-1.2853172270783468","-1.3750654036908716","-1.195569050465822","8.09227372423291","8.271770077457962"
"2003-01-01","6.893812014","7.828670857826233","-0.9348586782608034","-1.7257962183585063","-0.1439211381631006","7.03773331772853","8.619608397923935"
"2004-01-01","6.841157916","7.4713227218090115","-0.6301648086010038","-0.9035893360383129","-0.35674028116369466","7.197898194371702","7.744747249246321"
"2005-01-01","6.761233087","7.187455018817867","-0.42622216588207607","-0.6384885952043255","-0.21395573655982664","6.975188589495618","7.399721448140117"
"2006-01-01","6.764223515","6.980539903156687","-0.21631632756464525","-0.3347019284490487","-0.09793072668024176","6.862154302272283","7.09892550404109"
"2007-01-01","6.618095255","6.7790440174515805","-0.16094861950236167","-0.39326918340518047","0.07137194440045713","6.546723453548761","7.0113645813544"
"2008-01-01","6.371129427","6.600768567111185","-0.22963905432431947","-0.36755026662247264","-0.0917278420261663","6.462857354813032","6.738679779409338"
"2009-01-01","6.243400037","6.466396299021362","-0.2229962021280512","-0.2827099164162137","-0.16328248783988872","6.4066825847332","6.526110013309524"
"2010-01-01","6.197091519","6.348077203442826","-0.1509856240055702","-0.401351289565172","0.09938004155403163","6.0977115378832245","6.598442869002428"
"2011-01-01","6.0896619","6.220460783369592","-0.13079870832686796","-0.13876775119494908","-0.12282966545878685","6.212491740501512","6.228429826237673"
"2012-01-01","5.998246291","6.099632512249029","-0.10138631931689976","-0.3418566230462764","0.13908398441247688","5.859162208519652","6.340102815978406"
"2013-01-01","5.958997218","5.9817469908884835","-0.02274974128521203","-0.2924155417261724","0.24691605915574835","5.712081190447523","6.251412791329444"
