DATE,HHI,N
1974-01-01,0.1332185316828043,7.506463157701047
1974-04-01,0.13162931708724115,7.597091758344541
1974-07-01,0.13015326988452167,7.683249148386735
1974-10-01,0.1288266284665157,7.762370341469563
1975-01-01,0.12769882914789654,7.83092536300261
1975-04-01,0.12681910359020623,7.885247345946595
1975-07-01,0.1261856116898771,7.924833795295714
1975-10-01,0.12583874155324268,7.9466783254257
1976-01-01,0.1258193698647862,7.947901830017636
1976-04-01,0.12612816774998503,7.928443089589864
1976-07-01,0.12666446187718877,7.894874262123967
1976-10-01,0.12731073426301698,7.85479720770485
1977-01-01,0.12793332371193536,7.816571718653053
1977-04-01,0.12842313302567282,7.78675910203882
1977-07-01,0.12881473579213265,7.7630869935074225
1977-10-01,0.12915074525411044,7.742889892214333
1978-01-01,0.1294731707317073,7.723607866777184
1978-04-01,0.1298074222399625,7.703719731460318
1978-07-01,0.13014292125172258,7.683860100741084
1978-10-01,0.13044375747679823,7.666139180158682
1979-01-01,0.13066974632254402,7.652880855309912
1979-04-01,0.1307954511430454,7.645525828771696
1979-07-01,0.13085320818701873,7.64215118494286
1979-10-01,0.13088079400281893,7.64054044460077
1980-01-01,0.13091799500672177,7.638369346770523
1980-04-01,0.13099094181240395,7.634115658410411
1980-07-01,0.13107314191523856,7.629328063614077
1980-10-01,0.13112483051888577,7.626320629302709
1981-01-01,0.13110373861712354,7.6275475478270565
1981-04-01,0.1309933545783067,7.6339750456746165
1981-07-01,0.13085604480127552,7.641985523241586
1981-10-01,0.13077883653597505,7.646497143480221
1982-01-01,0.13085258204410544,7.642187753413516
1982-04-01,0.13113299814443008,7.625845623529468
1982-07-01,0.1315911361244482,7.59929604266264
1982-10-01,0.13217183472724445,7.565908440808464
1983-01-01,0.13280897037158293,7.529611871864715
1983-04-01,0.1334026972822139,7.496100306611464
1983-07-01,0.1337875152425117,7.474538997060651
1983-10-01,0.1337399024216129,7.477200012061591
1984-01-01,0.13303408970229036,7.516870316757492
1984-04-01,0.13152251832875916,7.603260739734
1984-07-01,0.12923695031338858,7.73772514420284
1984-10-01,0.1262263586680444,7.922275589283564
1985-01-01,0.12259972265274492,8.156625303569646
1985-04-01,0.11860231692654132,8.431538488572443
1985-07-01,0.11451011850980142,8.7328527209096
1985-10-01,0.11079862773799265,9.025382537811899
1986-01-01,0.1079984325646567,9.25939364352643
1986-04-01,0.10647323150563955,9.392032024002514
1986-07-01,0.10593498012839388,9.439752561316324
1986-10-01,0.10605166668370453,9.429366187921081
1987-01-01,0.1064628402955929,9.392948724865043
1987-04-01,0.10686478076971653,9.357619908049081
1987-07-01,0.1072791576607377,9.321475129049997
1987-10-01,0.10779142398711597,9.277175892207596
1988-01-01,0.10848381801125702,9.217964654380372
1988-04-01,0.10939616672206587,9.141088120030936
1988-07-01,0.11044566877745185,9.054225585024987
1988-10-01,0.11151981392957777,8.967016396130981
1989-01-01,0.11247967479674797,8.89049512106975
1989-04-01,0.1132096626266351,8.833168272022814
1989-07-01,0.11373969019590743,8.792005660271984
1989-10-01,0.11409128366850901,8.764911462522319
1990-01-01,0.11428639993018895,8.749947505659842
1990-04-01,0.11435446191068699,8.744739674268407
1990-07-01,0.11433191186951279,8.746464426671198
1990-10-01,0.11424946613151803,8.75277612981449
1991-01-01,0.11414122462902952,8.761076493178523
1991-04-01,0.11402506290401186,8.770001739370372
1991-07-01,0.11383682932676903,8.784503274678324
1991-10-01,0.11349277112539292,8.811133872968403
1992-01-01,0.11291166568146187,8.856480807050769
1992-04-01,0.11205332729172962,8.924322232721487
1992-07-01,0.11098657480825708,9.01009875949071
1992-10-01,0.10980282457714724,9.10723384258118
1993-01-01,0.10862078433167072,9.206341181872949
1993-04-01,0.10756071258228307,9.297074889077257
1993-07-01,0.10664308494534909,9.377073070536786
1993-10-01,0.10592194696642766,9.440914075313906
1994-01-01,0.10545807231214424,9.482441486699193
1994-04-01,0.10527042564437263,9.49934413087895
1994-07-01,0.10523973121858081,9.502114728163074
1994-10-01,0.10522743272124725,9.503225291536383
1995-01-01,0.10508829616448423,9.515807530410425
1995-04-01,0.10473248322630752,9.54813606242091
1995-07-01,0.104233570512722,9.593838099194224
1995-10-01,0.10371722760234539,9.641599791251908
1996-01-01,0.1033208255159475,9.678590884329033
1996-04-01,0.10315999705720323,9.69367999734907
1996-07-01,0.10327502287299012,9.68288335534742
1996-10-01,0.10370125360746009,9.643084969688946
1997-01-01,0.10446891149073434,9.57222570552669
1997-04-01,0.10556130751925893,9.473167995930297
1997-07-01,0.10694751080562445,9.350381252140458
1997-10-01,0.10855485911722818,9.211932180024315
1998-01-01,0.11028619321502173,9.067318137006774
1998-04-01,0.11203291242919745,8.92594844066006
1998-07-01,0.11383928286883736,8.784313945056855
1998-10-01,0.11570736741931854,8.642492023658638
1999-01-01,0.11761828282754544,8.502079574365343
1999-04-01,0.11953153885776031,8.365992854739169
1999-07-01,0.12151972621432103,8.229116631124787
1999-10-01,0.12359623656355542,8.090861241440647
2000-01-01,0.12575134639005497,7.952201139049473
2000-04-01,0.12797485555265434,7.8140349968088625
2000-07-01,0.13031582599549565,7.6736650545772145
2000-10-01,0.13283152614414906,7.528333288249642
2001-01-01,0.1355269158608746,7.378608106352482
2001-04-01,0.13831268075999162,7.229995069904396
2001-07-01,0.1410332423848588,7.090526907628972
2001-10-01,0.14337633259198537,6.974651826572799
2002-01-01,0.14499678273650277,6.8967047483892285
2002-04-01,0.14568455262608496,6.864145731130516
2002-07-01,0.14570533036032474,6.863166896688208
2002-10-01,0.14538087922013995,6.8784836449212206
