severity,parameter,warning
warning,theta_0,bulk ESS 326.0 < 400
warning,gamma,R-hat 1.016 > 1.01
warning,theta_t_mean,R-hat 1.012 > 1.01
warning,theta_t_mean,bulk ESS 346.8 < 400
warning,theta_t_start,R-hat 1.089 > 1.01
warning,theta_t_start,bulk ESS 69.5 < 400
warning,theta_t_mid,R-hat 1.014 > 1.01
warning,theta_t_mid,bulk ESS 198.8 < 400
warning,theta_t_mid,tail ESS 382.5 < 400
warning,rho_1,R-hat 1.111 > 1.01
warning,rho_1,bulk ESS 134.5 < 400
warning,rho_2,R-hat 1.107 > 1.01
warning,rho_2,bulk ESS 142.9 < 400
warning,n,R-hat 1.342 > 1.01
warning,n,bulk ESS 11.3 < 400
warning,n,tail ESS 38.6 < 400
warning,sigma_e,R-hat 1.013 > 1.01
warning,sigma_eps,R-hat 1.017 > 1.01
warning,sigma_eps,bulk ESS 249.8 < 400
warning,sigma_N,R-hat 1.065 > 1.01
