run,model,data_spec,prior_spec,constraint_spec,n_transform,log_marginal_likelihood,bayes_factor_vs_baseline,sddr_delta_bf01,sddr_theta_bf01,sddr_theta0_bf01,sddr_gamma_bf01,predictive_score,posterior_predictive_rmse,notes,log_likelihood,log_prior,log_posterior_ordinate,n_draws,method
ces_output_gap_bn_core_weak_20260709_162635,ces,output_gap_bn_core,weak,unrestricted,log100_centered10,-230.47787600402864,1.0,,,,,-236.20867432402548,0.6484934823017486,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-365.6341344002576,-13.083391620495265,-148.23965001672423,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
ces_output_gap_bn_weak_20260623_004944,ces,output_gap_bn,weak,unrestricted,log100_centered10,-247.08848841114593,6.110865015137025e-08,,,,,-120.65714593491134,0.6395128122252701,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-227.40103894113497,-7.530083204057567,12.157366265953382,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_dynamic_output_gap_bn_core_weak_20260709_164041,hsa_dynamic,output_gap_bn_core,weak,unrestricted,log100_centered10,-104.31978400998656,6.162588943972354e+54,,6.106940008154578,,,-213.91914311037726,0.6463452924352818,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-168.49064293597198,-20.213837574856814,-84.38469650084224,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_dynamic_output_gap_bn_weak_20260623_010330,hsa_dynamic,output_gap_bn,weak,unrestricted,log100_centered10,-327.0963970690048,1.0942321022485583e-42,,0.16999876117957768,,,-118.0197830431326,0.6252727115247362,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-270.5952501099084,-31.702258259680576,24.798888699415855,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_full_output_gap_bn_core_weak_20260709_165047,hsa_full,output_gap_bn_core,weak,unrestricted,log100_centered10,-109.7638448869551,2.663407402390616e+52,4.053887187561898,,5.612000800061637,0.012512114193988465,-268.3383487750313,0.6396206214277786,SDDR uses run-specific saved priors and physical-unit posterior draws. HSA full Chib is conditional on posterior mean latent states because the full observation equation is nonlinear in Nhat and Nbar. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-267.11440183204104,-5.69603036982395,-163.0465873149099,3200,"Conditional Chib 1995 for HSA full inflation equation, conditioned on posterior mean latent states"
hsa_full_output_gap_bn_weak_20260623_011323,hsa_full,output_gap_bn,weak,unrestricted,log100_centered10,-128.50300147130227,1.936980739659268e+44,0.09473731761980853,,0.160349163883326,0.39173331583291204,-116.10727144093553,0.6155795176187914,SDDR uses run-specific saved priors and physical-unit posterior draws. HSA full Chib is conditional on posterior mean latent states because the full observation equation is nonlinear in Nhat and Nbar. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-121.73923414459998,-0.3891501771695953,6.374617149532691,3200,"Conditional Chib 1995 for HSA full inflation equation, conditioned on posterior mean latent states"
hsa_steady_output_gap_bn_core_weak_20260709_163009,hsa_steady,output_gap_bn_core,weak,unrestricted,log100_centered10,-98.4068327820712,2.278900115973785e+57,2.844050488752511,,,,-245.71717963488481,0.6558233129263067,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-193.13818661417395,-26.86693906409076,-121.5982928961935,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_steady_output_gap_bn_weak_20260702_071928,hsa_steady,output_gap_bn,weak,unrestricted,log100_centered10,-114.59098442328757,2.1332292917985006e+50,1.892995277708903,,,,-119.78322471767328,0.6348777683864504,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-45.73615594960282,-21.392800610927942,47.46202786275681,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
