severity,parameter,warning
warning,kappa_0,R-hat 1.011 > 1.01
warning,theta_0,R-hat 1.045 > 1.01
warning,gamma,R-hat 1.039 > 1.01
warning,kappa_t_mean,R-hat 1.028 > 1.01
warning,kappa_t_start,R-hat 1.012 > 1.01
warning,kappa_t_mid,R-hat 1.035 > 1.01
warning,kappa_t_end,R-hat 1.020 > 1.01
warning,theta_t_mean,R-hat 1.017 > 1.01
warning,theta_t_mid,R-hat 1.015 > 1.01
warning,theta_t_end,R-hat 1.045 > 1.01
warning,rho_1,R-hat 1.062 > 1.01
warning,rho_1,bulk ESS 126.8 < 400
warning,rho_2,R-hat 1.054 > 1.01
warning,rho_2,bulk ESS 147.7 < 400
warning,n,R-hat 1.069 > 1.01
warning,n,bulk ESS 10.6 < 400
warning,n,tail ESS 42.4 < 400
warning,sigma_eps,bulk ESS 281.0 < 400
warning,sigma_N,R-hat 1.038 > 1.01
