run,model,data_spec,prior_spec,constraint_spec,n_transform,log_marginal_likelihood,bayes_factor_vs_baseline,sddr_delta_bf01,sddr_theta_bf01,sddr_theta0_bf01,sddr_gamma_bf01,predictive_score,posterior_predictive_rmse,notes,log_likelihood,log_prior,log_posterior_ordinate,n_draws,method
ces_output_gap_bn_core_start_1988_baseline_20260709_174419,ces,output_gap_bn_core_start_1988,baseline,unrestricted,log100_centered10,-143.52123235732955,1.0,,,,,-234.943377482515,0.6577063969203807,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-337.8273446218829,-23.40859003406124,-217.7147022986146,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
ces_output_gap_bn_start_1988_baseline_20260623_023554,ces,output_gap_bn_start_1988,baseline,unrestricted,log100_centered10,-185.81587907424327,4.282213505010447e-19,,,,,-93.45678999158716,0.6140052897913346,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-168.87041218876394,-5.351801243621019,11.5936656418583,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_dynamic_output_gap_bn_core_start_1988_baseline_20260709_181114,hsa_dynamic,output_gap_bn_core_start_1988,baseline,unrestricted,log100_centered10,-43.31845386789885,3.292408917709205e+43,,2.024523753777494,,,-273.45293605538006,0.6506904958332173,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-235.06246464500052,-40.32834668044246,-232.07235745754414,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_dynamic_output_gap_bn_start_1988_baseline_20260623_030401,hsa_dynamic,output_gap_bn_start_1988,baseline,unrestricted,log100_centered10,-301.28994390545614,3.033326488951589e-69,,0.3488157980005896,,,-87.72379762648336,0.5814863168967453,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-190.26803993467428,-93.56802307320372,17.45388089757811,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_full_output_gap_bn_core_start_1988_baseline_20260709_182624,hsa_full,output_gap_bn_core_start_1988,baseline,unrestricted,log100_centered10,-76.48364967205131,1.3003259820424993e+29,1.326329853506086,,1.238211149125872,1.0091550507831346,-229.7292583733426,0.6425209891279837,SDDR uses run-specific saved priors and physical-unit posterior draws. HSA full Chib is conditional on posterior mean latent states because the full observation equation is nonlinear in Nhat and Nbar. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-228.58440182412846,-10.039128983748878,-162.13988113582602,3200,"Conditional Chib 1995 for HSA full inflation equation, conditioned on posterior mean latent states"
hsa_full_output_gap_bn_start_1988_baseline_20260623_031856,hsa_full,output_gap_bn_start_1988,baseline,unrestricted,log100_centered10,-91.02008151096254,6.323537613302334e+22,0.643035951670363,,0.10860655058842353,0.9280263039361301,-83.88847984274362,0.5551626374875888,SDDR uses run-specific saved priors and physical-unit posterior draws. HSA full Chib is conditional on posterior mean latent states because the full observation equation is nonlinear in Nhat and Nbar. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-83.97036253739944,6.063430376076088,13.113149349639187,3200,"Conditional Chib 1995 for HSA full inflation equation, conditioned on posterior mean latent states"
hsa_steady_output_gap_bn_core_start_1988_baseline_20260709_175430,hsa_steady,output_gap_bn_core_start_1988,baseline,unrestricted,log100_centered10,-47.1054200299524,7.462000297154117e+41,1.3624335378440795,,,,-232.65240215743745,0.6536498530645686,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-182.02871618207251,-40.7320495429159,-175.655345695036,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_steady_output_gap_bn_start_1988_baseline_20260623_024705,hsa_steady,output_gap_bn_start_1988,baseline,unrestricted,log100_centered10,-281.5144391324029,1.1757412556580347e-60,0.6282428941345231,,,,-92.29859342807877,0.6069220604933678,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-224.69781988308546,-29.680520209680203,27.136099039637266,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
