parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.603341684036145,0.052847777427738364,0.5006550815005557,0.7050332377929797,,,,,
kappa,0.08983961851611186,0.03559440719168658,0.02191929046836834,0.15891967992730932,,,,,
theta,0.010754056383174821,0.0038761212148878724,0.003129400094195981,0.01842509742785726,,,,,
phi_1,0.9501244300934641,0.026990008099476367,0.8970183877909167,1.002207744423038,,,,,
rho_1,1.8774624853253539,0.039476315020938076,1.7962258037170027,1.9511908383193366,,,,,
rho_2,-0.880660461767281,0.03955891199221728,-0.9548062878162199,-0.7989435425803856,,,,,
n,0.013785429308374604,0.06688114612645688,-0.11739834854201298,0.14717453826527552,,,,,
sigma_e,0.6204137913919504,0.040710547196872636,0.5501630043864809,0.705804863833642,,,,,
sigma_zeta,0.573748734084304,0.03649337692562533,0.5069466589417065,0.64892596083047,,,,,
sigma_u,0.4096247274188072,0.04064046492524014,0.33694092032225215,0.49873128900314545,,,,,
sigma_eps,0.24462039183814888,0.0329604625671952,0.1890692469291779,0.31707809546732196,,,,,
sigma_N,0.28362883656441673,0.025222004174407824,0.23939951027347453,0.3370805580386687,,,,,
