"date","original_series","transformed_series","trend","cycle"
"1993-04-01","15.4995036568226","2.7408080101013184","2.7410125941022567","-0.00020458400093846323"
"1993-07-01","15.503394334564900","2.7410590648651123","2.741239555022981","-0.0001804901578687069"
"1993-10-01","15.511314038898600","2.741569757461548","2.7415339514960073","0.00003580596554044644"
"1994-01-01","15.516437540872300","2.7418999671936035","2.7418337569242968","0.00006621026930660824"
"1994-04-01","15.520263013829500","2.7421464920043945","2.742114743640666","0.00003174836372871533"
"1994-07-01","15.526425776146500","2.7425434589385986","2.7424161599302863","0.00012729900831240755"
"1994-10-01","15.534524408664600","2.7430648803710938","2.7427660590381313","0.0002988213329624666"
"1995-01-01","15.537745585875700","2.743272304534912","2.743082733653581","0.00018957088133130385"
"1995-04-01","15.544156978474900","2.743684768676758","2.7434290837430266","0.0002556849337312095"
"1995-07-01","15.548761997147700","2.743981122970581","2.743759537600307","0.0002215853702738646"
"1995-10-01","15.55316999056880","2.744264602661133","2.744078720396302","0.00018588226483066243"
"1996-01-01","15.556857748105600","2.7445015907287598","2.744383394604586","0.00011819612417380609"
"1996-04-01","15.562276845353300","2.744849920272827","2.7447061712074734","0.00014374906535389318"
"1996-07-01","15.566972894907800","2.7451515197753906","2.745024176450729","0.00012734332466146555"
"1996-10-01","15.572337599518900","2.7454960346221924","2.7453488948864697","0.00014713973572266453"
"1997-01-01","15.579388936804900","2.7459487915039062","2.745701524371446","0.00024726713246020217"
"1997-04-01","15.584687619885200","2.746288776397705","2.7460460774332605","0.00024269896444447335"
"1997-07-01","15.590636453138300","2.7466704845428467","2.7463972093093068","0.0002732752335399737"
"1997-10-01","15.596381629825600","2.7470388412475586","2.7467521709579636","0.00028667028959514777"
"1998-01-01","15.598233318859000","2.747157573699951","2.7470491501328156","0.00010842356713578781"
"1998-04-01","15.60426953020010","2.747544527053833","2.747374830216566","0.0001696968372671563"
"1998-07-01","15.61309038930790","2.7481095790863037","2.7477587679979467","0.00035081108835703347"
"1998-10-01","15.61705928896900","2.748363971710205","2.7481113965406974","0.0002525751695078623"
"1999-01-01","15.619531875847700","2.7485220432281494","2.7484134317710245","0.0001086114571247252"
"1999-04-01","15.622655068169200","2.7487220764160156","2.7486915782566177","0.000030498159397841418"
"1999-07-01","15.627076576049400","2.749005079269409","2.7489761216249984","0.00002895764441079088"
"1999-10-01","15.629524548099900","2.749161720275879","2.749238417604642","-0.00007669732876318805"
"2000-01-01","15.635213285663300","2.749525547027588","2.749534034795615","-0.000008487768027204744"
"2000-04-01","15.640224997668000","2.7498462200164795","2.7498253810183493","0.00002083899813017733"
"2000-07-01","15.644890743083700","2.7501444816589355","2.75010867450514","0.000035807153795500516"
"2000-10-01","15.646975238342100","2.7502777576446533","2.7503538761004847","-0.00007611845583122124"
"2001-01-01","15.648735654536500","2.75039005279541","2.750571220164524","-0.00018116736911361593"
"2001-04-01","15.649694576934700","2.7504513263702393","2.750757315047181","-0.00030598867694147356"
"2001-07-01","15.650492977111000","2.750502347946167","2.750919653714141","-0.00041730576797427795"
"2001-10-01","15.65033334806310","2.7504923343658447","2.751044545536548","-0.0005522111707033014"
"2002-01-01","15.650492977111000","2.750502347946167","2.751144212817763","-0.0006418648715961043"
"2002-04-01","15.653680218614900","2.7507059574127197","2.751267957709001","-0.000562000296281389"
"2002-07-01","15.658758769145400","2.751030445098877","2.751437069418284","-0.0004066243194069706"
"2002-10-01","15.662550827567000","2.751272678375244","2.7516151413278522","-0.00034246295260802564"
"2003-01-01","15.665070901277200","2.7514333724975586","2.751780914774081","-0.0003475422765225135"
"2003-04-01","15.66836888948020","2.7516438961029053","2.75194865578426","-0.0003047596813544788"
"2003-07-01","15.671187105274200","2.751823902130127","2.7521172123543356","-0.00029331022420854785"
"2003-10-01","15.674153297256400","2.7520129680633545","2.752293165646404","-0.0002801975830494291"
"2004-01-01","15.678353334417400","2.7522809505462646","2.7524934962212027","-0.00021254567493780431"
"2004-04-01","15.682844922887400","2.7525675296783447","2.7527100851859925","-0.00014255550764770091"
"2004-07-01","15.686238927772100","2.75278377532959","2.7529200597038153","-0.00013628437422531954"
"2004-10-01","15.690541976785700","2.7530581951141357","2.7531425886953445","-0.00008439358120866498"
