run,model,data_spec,prior_spec,constraint_spec,parameter,unit,mean,sd,ci_2.5,ci_97.5
ces_unemployment_gap_baseline_20260702_071129,ces,unemployment_gap,baseline,unrestricted,alpha,share,0.6470144997251773,0.052441627022979796,0.5434404882126659,0.7494261132162964
ces_unemployment_gap_baseline_20260702_071129,ces,unemployment_gap,baseline,unrestricted,kappa,inflation points per x point,0.05560944809156388,0.032251859159788655,-0.0075453006734305566,0.11996745083885063
ces_unemployment_gap_baseline_20260702_071129,ces,unemployment_gap,baseline,unrestricted,lambda_ez,shock loading,0.04249414003827996,0.10729449936655343,-0.16679662710343193,0.25479481699015766
ces_unemployment_gap_baseline_20260702_071129,ces,unemployment_gap,baseline,unrestricted,phi_1,AR(1) coefficient,0.9494543249933972,0.028242234826903297,0.8932152812897781,1.0059007614044022
ces_unemployment_gap_baseline_20260702_071129,ces,unemployment_gap,baseline,unrestricted,rho,reported physical units,0.03807466319723679,0.0961337770804209,-0.15156505790361538,0.22451424685832555
ces_unemployment_gap_baseline_20260702_071129,ces,unemployment_gap,baseline,unrestricted,sigma_e,reported physical units,0.6632127210673505,0.04264231713091017,0.5861578671589017,0.7494379714716317
ces_unemployment_gap_baseline_20260702_071129,ces,unemployment_gap,baseline,unrestricted,sigma_zeta,reported physical units,0.5978206818699938,0.03840463580791377,0.5280336145475192,0.6811512719615834
ces_unemployment_gap_baseline_20260702_145848,ces,unemployment_gap,baseline,unrestricted,alpha,share,0.6470144997251773,0.052441627022979796,0.5434404882126659,0.7494261132162964
ces_unemployment_gap_baseline_20260702_145848,ces,unemployment_gap,baseline,unrestricted,kappa,inflation points per x point,0.05560944809156388,0.032251859159788655,-0.0075453006734305566,0.11996745083885063
ces_unemployment_gap_baseline_20260702_145848,ces,unemployment_gap,baseline,unrestricted,lambda_ez,shock loading,0.04249414003827996,0.10729449936655343,-0.16679662710343193,0.25479481699015766
ces_unemployment_gap_baseline_20260702_145848,ces,unemployment_gap,baseline,unrestricted,phi_1,AR(1) coefficient,0.9494543249933972,0.028242234826903297,0.8932152812897781,1.0059007614044022
ces_unemployment_gap_baseline_20260702_145848,ces,unemployment_gap,baseline,unrestricted,rho,reported physical units,0.03807466319723679,0.0961337770804209,-0.15156505790361538,0.22451424685832555
ces_unemployment_gap_baseline_20260702_145848,ces,unemployment_gap,baseline,unrestricted,sigma_e,reported physical units,0.6632127210673505,0.04264231713091017,0.5861578671589017,0.7494379714716317
ces_unemployment_gap_baseline_20260702_145848,ces,unemployment_gap,baseline,unrestricted,sigma_zeta,reported physical units,0.5978206818699938,0.03840463580791377,0.5280336145475192,0.6811512719615834
ces_unemployment_gap_baseline_annual_q4_20260702_195928,ces,unemployment_gap,baseline,unrestricted,alpha,share,0.6470144997251773,0.052441627022979796,0.5434404882126659,0.7494261132162964
ces_unemployment_gap_baseline_annual_q4_20260702_195928,ces,unemployment_gap,baseline,unrestricted,kappa,inflation points per x point,0.05560944809156388,0.032251859159788655,-0.0075453006734305566,0.11996745083885063
ces_unemployment_gap_baseline_annual_q4_20260702_195928,ces,unemployment_gap,baseline,unrestricted,lambda_ez,shock loading,0.04249414003827996,0.10729449936655343,-0.16679662710343193,0.25479481699015766
ces_unemployment_gap_baseline_annual_q4_20260702_195928,ces,unemployment_gap,baseline,unrestricted,phi_1,AR(1) coefficient,0.9494543249933972,0.028242234826903297,0.8932152812897781,1.0059007614044022
ces_unemployment_gap_baseline_annual_q4_20260702_195928,ces,unemployment_gap,baseline,unrestricted,rho,reported physical units,0.03807466319723679,0.0961337770804209,-0.15156505790361538,0.22451424685832555
ces_unemployment_gap_baseline_annual_q4_20260702_195928,ces,unemployment_gap,baseline,unrestricted,sigma_e,reported physical units,0.6632127210673505,0.04264231713091017,0.5861578671589017,0.7494379714716317
ces_unemployment_gap_baseline_annual_q4_20260702_195928,ces,unemployment_gap,baseline,unrestricted,sigma_zeta,reported physical units,0.5978206818699938,0.03840463580791377,0.5280336145475192,0.6811512719615834
ces_unemployment_gap_baseline_restricted_kappa_20260623_000856,ces,unemployment_gap,baseline,restricted_kappa,alpha,share,0.6443729541538602,0.053081752316785524,0.5404595153020206,0.748572604350477
ces_unemployment_gap_baseline_restricted_kappa_20260623_000856,ces,unemployment_gap,baseline,restricted_kappa,kappa,inflation points per x point,0.0584822924897016,0.02934875462305343,0.007381556651343492,0.12131942027097344
ces_unemployment_gap_baseline_restricted_kappa_20260623_000856,ces,unemployment_gap,baseline,restricted_kappa,lambda_ez,shock loading,0.038965692387151155,0.10325252030352762,-0.16765216449284745,0.24258118172707002
ces_unemployment_gap_baseline_restricted_kappa_20260623_000856,ces,unemployment_gap,baseline,restricted_kappa,phi_1,AR(1) coefficient,0.9501190865080008,0.028065535116368938,0.8948657370459847,1.0035711672504517
ces_unemployment_gap_baseline_restricted_kappa_20260623_000856,ces,unemployment_gap,baseline,restricted_kappa,rho,reported physical units,0.03496727485370883,0.09251990009525246,-0.14732690671700063,0.2145103330875718
