parameter,ces / annual_q4,ces / quarterly_interpolated,hsa_steady / annual_q4,hsa_steady / quarterly_interpolated,hsa_dynamic / annual_q4,hsa_dynamic / quarterly_interpolated,hsa_full / annual_q4,hsa_full / quarterly_interpolated
alpha,"0.647 [0.543, 0.749]","0.755 [0.675, 0.832]","0.641 [0.540, 0.739]","0.794 [0.715, 0.873]","0.645 [0.546, 0.747]","0.759 [0.680, 0.835]","0.644 [0.537, 0.746]","0.790 [0.706, 0.867]"
kappa,"0.056 [-0.008, 0.120]","0.039 [0.007, 0.072]",,,"0.058 [-0.006, 0.122]","0.033 [-0.002, 0.068]",,
kappa_0,,,"0.077 [0.012, 0.145]","0.051 [0.015, 0.088]",,,"0.080 [0.012, 0.147]","0.062 [0.022, 0.101]"
delta,,,"0.029 [0.005, 0.053]","0.023 [0.010, 0.039]",,,"0.029 [0.004, 0.055]","0.025 [0.008, 0.044]"
theta,,,,,"0.047 [-0.179, 0.342]","-0.022 [-0.076, 0.035]",,
theta_0,,,,,,,"0.026 [-0.156, 0.217]","0.039 [-0.032, 0.114]"
gamma,,,,,,,"-0.002 [-0.040, 0.036]","-0.011 [-0.046, 0.022]"
rho_1,,,"0.228 [-0.081, 0.387]","1.801 [1.707, 1.893]","0.313 [0.078, 0.753]","1.776 [1.664, 1.874]","0.268 [0.081, 0.380]","1.793 [1.680, 1.887]"
rho_2,,,"-0.864 [-0.964, -0.637]","-0.815 [-0.905, -0.722]","-0.715 [-0.958, -0.087]","-0.790 [-0.882, -0.681]","-0.880 [-0.964, -0.764]","-0.808 [-0.900, -0.699]"
phi_1,"0.949 [0.893, 1.006]","0.949 [0.894, 1.006]","0.948 [0.893, 1.002]","0.950 [0.894, 1.008]","0.949 [0.895, 1.002]","0.950 [0.895, 1.001]","0.950 [0.893, 1.003]","0.949 [0.894, 1.004]"
lambda_ez,"0.042 [-0.167, 0.255]","-0.038 [-0.146, 0.070]","0.023 [-0.184, 0.221]","-0.029 [-0.131, 0.075]",,,"0.029 [-0.173, 0.230]","-0.030 [-0.131, 0.070]"
n,,,"-0.037 [-0.066, -0.005]","-0.046 [-0.063, -0.029]","-0.030 [-0.062, 0.008]","-0.045 [-0.064, -0.021]","-0.034 [-0.062, -0.005]","-0.042 [-0.052, -0.033]"
