run,model,data_spec,quarter,N_total_mean,N_total_q05,N_total_q50,N_total_q95,Nbar_mean,Nbar_q05,Nbar_q50,Nbar_q95,Nhat_mean,Nhat_q05,Nhat_q50,Nhat_q95
hsa_full_unemployment_gap_baseline_annual_q4_20260702_200618,hsa_full,unemployment_gap,1982Q1,4.2992347097879,1.4718931669326774,4.184438945679573,7.54126921017672,1.678757256191729,0.5566181875582626,1.6053175119757284,2.986958237530297,2.620477453596158,0.12413096305232177,2.6030835276853965,5.259263239275751
hsa_full_unemployment_gap_baseline_annual_q4_20260702_200618,hsa_full,unemployment_gap,1982Q2,3.023724009554387,0.91259182057366,2.7842601149623496,5.9392828608335355,1.643623186422905,0.5692106921490061,1.563346890589906,2.9517402730224376,1.3801008231314804,0.21297910870034867,1.2203361284190093,3.083757352810033
hsa_full_unemployment_gap_baseline_annual_q4_20260702_200618,hsa_full,unemployment_gap,1982Q3,-0.3270754443844212,-2.257664554812055,-0.5073354199101436,2.4077988136919575,1.613974685560536,0.5796799051636723,1.5398761020057776,2.8626318945414044,-1.941050129944956,-3.96162952913183,-1.995877081541792,0.23335421975497267
hsa_full_unemployment_gap_baseline_annual_q4_20260702_200618,hsa_full,unemployment_gap,1982Q4,-0.2004624717372695,-0.32207487860968703,-0.1998485980855822,-0.07412091582884477,1.5792424407820533,0.5997607760761233,1.4929696449151084,2.773853867394122,-1.7797049125193263,-2.99669239769073,-1.6856443259210225,-0.8155931681822228
hsa_full_unemployment_gap_baseline_annual_q4_20260702_200618,hsa_full,unemployment_gap,1983Q1,2.7942702350500834,0.8268415743386852,2.748878618154861,4.966597629601121,1.5622986953408267,0.598721043115365,1.4893037379369538,2.7240796406748453,1.2319715397092508,-0.5089266991891328,1.3030475084504958,2.7566354547702843
hsa_full_unemployment_gap_baseline_annual_q4_20260702_200618,hsa_full,unemployment_gap,1983Q2,3.4678499618073015,1.5934286398239474,3.3416970557189236,5.6031712050563875,1.541833049590853,0.5978674691117931,1.4794719310879376,2.6614781810308057,1.9260169122164321,0.9809612961308473,1.8745211783419373,2.9880835390839198
hsa_full_unemployment_gap_baseline_annual_q4_20260702_200618,hsa_full,unemployment_gap,1983Q3,0.9465895085510907,-0.22217771043852408,0.7743108030085828,2.737709901180844,1.5194571747501948,0.6180783423642614,1.463512195947907,2.54995345093387,-0.5728676661991022,-1.7720909459285399,-0.6351679283468925,0.6972574828124256
hsa_full_unemployment_gap_baseline_annual_q4_20260702_200618,hsa_full,unemployment_gap,1983Q4,-0.3695307413535079,-0.48813606821107725,-0.3670879578757058,-0.25683590001556,1.5001080329231808,0.63078510964442,1.4611660274354714,2.505618305747145,-1.8696387742766893,-2.868250517310991,-1.8313290779534,-1.003003466486013
hsa_full_unemployment_gap_baseline_annual_q4_20260702_200618,hsa_full,unemployment_gap,1984Q1,1.416310429473296,0.02915568673600729,1.3665836249442018,3.049381383924182,1.403028558090409,0.551972028992705,1.3668221889372356,2.4197769294461606,0.013281871382893322,-0.9391262323813657,0.05747188029251658,0.9913378925090223
hsa_full_unemployment_gap_baseline_annual_q4_20260702_200618,hsa_full,unemployment_gap,1984Q2,3.012187580707126,1.3756674214653324,2.923512132181817,5.004142314712068,1.3030248552854866,0.46961974427495057,1.2586305404101021,2.338465253792709,1.7091627254216317,0.8942261381185567,1.679135035235263,2.6855502340016546
hsa_full_unemployment_gap_baseline_annual_q4_20260702_200618,hsa_full,unemployment_gap,1984Q3,1.647701647141005,0.5740694677842164,1.5462408124512863,2.9722400350807976,1.206648423099355,0.40124814262761505,1.1693715189205078,2.2066494454435013,0.4410532240416509,-0.4120114523900977,0.4143635584019451,1.2376538399842199
hsa_full_unemployment_gap_baseline_annual_q4_20260702_200618,hsa_full,unemployment_gap,1984Q4,-0.3416101400095449,-0.45538802854657473,-0.34339997311314385,-0.2167564943753477,1.109705207015182,0.3522651191295582,1.056824357865354,2.0967778788123126,-1.4513153470247304,-2.4217732440917232,-1.3962157975654668,-0.6896595720662873
hsa_full_unemployment_gap_baseline_annual_q4_20260702_200618,hsa_full,unemployment_gap,1985Q1,0.33200106368467575,-0.7277041639616163,0.25250705421935055,1.7364055348240814,1.1152742807621805,0.34669821621402686,1.0527211530827896,2.093888670582295,-0.7832732170775063,-1.5134687840022656,-0.7715040666182554,0.02313042243685811
hsa_full_unemployment_gap_baseline_annual_q4_20260702_200618,hsa_full,unemployment_gap,1985Q2,2.1898432766771028,0.7675324115760129,2.045992761360157,4.105274267379234,1.123303736341187,0.3740525370469894,1.0581243555991335,2.0985329627044367,1.0665395403359101,0.36163948543929364,0.9968801158907068,2.028972570400525
hsa_full_unemployment_gap_baseline_annual_q4_20260702_200618,hsa_full,unemployment_gap,1985Q3,2.1133185468224833,1.1336074610583458,2.010466403733255,3.462791201715082,1.1268338338831407,0.4196892910395589,1.0515971462325955,2.1038352706603596,0.9864847129393399,0.20588788257475227,0.9734687744811086,1.7028285605189821
hsa_full_unemployment_gap_baseline_annual_q4_20260702_200618,hsa_full,unemployment_gap,1985Q4,0.4721490477612864,0.3632163941804172,0.4689640401448131,0.5935346242181178,1.135571139506201,0.45889114875425785,1.048438532412768,2.1070266442057015,-0.6634220917449158,-1.633651848041198,-0.5744558084615348,0.012229473117819366
hsa_full_unemployment_gap_baseline_annual_q4_20260702_200618,hsa_full,unemployment_gap,1986Q1,0.19172395890476124,-0.7514416589338295,0.1241633086176206,1.418499292150598,1.241003423542615,0.5731833347834933,1.1623969387469755,2.1786944825362817,-1.0492794646378558,-1.7627475116429039,-1.0286319140935343,-0.3435149832368329
hsa_full_unemployment_gap_baseline_annual_q4_20260702_200618,hsa_full,unemployment_gap,1986Q2,1.565287239156209,0.29040070697332926,1.408284990183576,3.4124660025646594,1.3388878827207265,0.6692363990069417,1.2660372572047476,2.2410740583958884,0.2263993564354794,-0.4177910577242109,0.14433912832556173,1.1573895765929538
hsa_full_unemployment_gap_baseline_annual_q4_20260702_200618,hsa_full,unemployment_gap,1986Q3,2.411275212576222,1.557396479266815,2.291206457579692,3.745121925205323,1.4398541771050781,0.781917944813875,1.367262007058525,2.344743413688249,0.9714210354711389,0.3229430461629747,0.9267366739772753,1.6726400077391013
hsa_full_unemployment_gap_baseline_annual_q4_20260702_200618,hsa_full,unemployment_gap,1986Q4,1.682694941414944,1.5550094846948137,1.6869079393730886,1.7973558084377155,1.5388658225022798,0.9165583782871013,1.4735250064111172,2.4215962255176504,0.143829118912663,-0.7353069487582738,0.20935015524716893,0.761596744279519
hsa_full_unemployment_gap_baseline_annual_q4_20260702_200618,hsa_full,unemployment_gap,1987Q1,0.7256221990002154,-0.14472266740088768,0.7018910737484588,1.7059929894076666,1.5113363146015006,0.8557899127950307,1.4428904719116036,2.358187659609664,-0.7857141156012903,-1.5328946302291098,-0.7163733736797187,-0.22489034907310063
hsa_full_unemployment_gap_baseline_annual_q4_20260702_200618,hsa_full,unemployment_gap,1987Q2,1.1547816849399224,-0.08185236318569042,1.0189668581664102,2.797910997903809,1.4853476368917384,0.8446752261271957,1.4270133701371985,2.3163405356799918,-0.33056595195181954,-0.9701650717638471,-0.3903433334126113,0.5042172677503634
hsa_full_unemployment_gap_baseline_annual_q4_20260702_200618,hsa_full,unemployment_gap,1987Q3,2.020631858323118,1.1244959767911464,1.8655264715436053,3.483183698847827,1.4556608064895051,0.8282120698409644,1.4098650834964914,2.255267575054525,0.5649710518336101,0.027526518943995635,0.4777905154991341,1.3644713384558107
hsa_full_unemployment_gap_baseline_annual_q4_20260702_200618,hsa_full,unemployment_gap,1987Q4,1.856135848365537,1.7439406947023492,1.8566371284224596,1.9736738660938538,1.4260205615855392,0.8254523057930778,1.3778242380962684,2.1834352558871055,0.4301152867799958,-0.3227169433149486,0.47614253816293917,1.0369675417955526
hsa_full_unemployment_gap_baseline_annual_q4_20260702_200618,hsa_full,unemployment_gap,1988Q1,1.0532477451185216,0.3050990940623055,1.0831620403479907,1.7734135341211419,1.3976999664287135,0.8098474071332797,1.3486063353754358,2.1055437301876148,-0.3444522213101962,-1.2604834031020977,-0.2456794278730005,0.19298955817014354
hsa_full_unemployment_gap_baseline_annual_q4_20260702_200618,hsa_full,unemployment_gap,1988Q2,0.9290161579899018,-0.18224060817185853,0.8675181974212901,2.1766534730878724,1.362934356645386,0.7911058601545541,1.3283402743999926,2.027684894304884,-0.4339181986554812,-0.9920359144741013,-0.46508382558933126,0.20665710044518473
hsa_full_unemployment_gap_baseline_annual_q4_20260702_200618,hsa_full,unemployment_gap,1988Q3,1.4780784283675044,0.5334932728585027,1.3413523281016726,2.976652210820397,1.328494202842067,0.7818173960399064,1.3069151528991427,1.9432946824207735,0.14958422552543815,-0.42928675405760275,0.042825673659797406,1.140056536167993
