run,model,data_spec,prior_spec,constraint_spec,n_transform,competition_measurement_frequency,kappa_mean,kappa_ci_2.5,kappa_ci_97.5,kappa_0_mean,kappa_0_ci_2.5,kappa_0_ci_97.5,delta_mean,delta_ci_2.5,delta_ci_97.5,kappa_t_overall_mean,kappa_t_start_mean,kappa_t_end_mean
hsa_dynamic_unemployment_gap_core_baseline_restricted_kappa_20260709_151929,hsa_dynamic,unemployment_gap_core,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,0.03432785551308064,0.0052817425633491346,0.06831861133495597,,,,,,,,,
hsa_dynamic_unemployment_gap_core_baseline_restricted_kappa_t_20260709_153929,hsa_dynamic,unemployment_gap_core,baseline,restricted_kappa_t,log100_centered10,quarterly_interpolated,0.03310905359040118,-0.0024520267905355883,0.06820093119323639,,,,,,,,,
hsa_dynamic_unemployment_gap_core_end_2019_baseline_20260709_172645,hsa_dynamic,unemployment_gap_core_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.03276453501302595,-0.0021650540905117036,0.067958986617635,,,,,,,,,
hsa_dynamic_unemployment_gap_core_exclude_covid_baseline_20260709_172019,hsa_dynamic,unemployment_gap_core_exclude_covid,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.03263861018086715,-0.002406543002561119,0.0672425288523592,,,,,,,,,
hsa_dynamic_unemployment_gap_core_full_baseline_20260709_171315,hsa_dynamic,unemployment_gap_core_full,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.03310905359040118,-0.0024520267905355883,0.06820093119323639,,,,,,,,,
hsa_dynamic_unemployment_gap_core_post_2008_baseline_20260709_171945,hsa_dynamic,unemployment_gap_core_post_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.0023341337211530235,-0.06323066574752984,0.06915168598595055,,,,,,,,,
hsa_dynamic_unemployment_gap_core_pre_2008_baseline_20260709_171647,hsa_dynamic,unemployment_gap_core_pre_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.10976509788905517,0.04640207864081293,0.17720337109170012,,,,,,,,,
hsa_dynamic_unemployment_gap_core_start_1988_baseline_20260709_172351,hsa_dynamic,unemployment_gap_core_start_1988,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.008924993422053744,-0.02598720294478131,0.041528853734664535,,,,,,,,,
hsa_dynamic_unemployment_gap_end_2019_baseline_20260623_035352,hsa_dynamic,unemployment_gap_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.07589357177238476,-0.022388002190870063,0.18695527978687224,,,,,,,,,
hsa_dynamic_unemployment_gap_exclude_covid_baseline_20260623_034730,hsa_dynamic,unemployment_gap_exclude_covid,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.08091907782987859,-0.013620708960374756,0.18972853549149385,,,,,,,,,
hsa_dynamic_unemployment_gap_full_baseline_20260623_034032,hsa_dynamic,unemployment_gap_full,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.08492384514261406,-0.011310956026870038,0.1913031656299331,,,,,,,,,
hsa_dynamic_unemployment_gap_post_2008_baseline_20260623_034656,hsa_dynamic,unemployment_gap_post_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,-0.022202548601811204,-0.13340450676897367,0.08601982813473585,,,,,,,,,
hsa_dynamic_unemployment_gap_pre_2008_baseline_20260623_034402,hsa_dynamic,unemployment_gap_pre_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.1802884459937905,0.07451645136534604,0.290392856747024,,,,,,,,,
hsa_dynamic_unemployment_gap_start_1988_baseline_20260623_035101,hsa_dynamic,unemployment_gap_start_1988,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.0001902926148351569,-0.07418263375013989,0.08386339805013691,,,,,,,,,
hsa_full_unemployment_gap_baseline_20260702_073855,hsa_full,unemployment_gap,baseline,unrestricted,log100_centered10,quarterly_interpolated,,,,0.08398739877568935,0.010124158171136604,0.15542885132844952,0.032844201791732065,0.004775096322212567,0.05940560965253425,0.08718324439800679,0.1637093327208454,0.009902103108708302
hsa_full_unemployment_gap_baseline_20260702_151204,hsa_full,unemployment_gap,baseline,unrestricted,log100_centered10,quarterly_interpolated,,,,0.08398739877568935,0.010124158171136604,0.15542885132844952,0.032844201791732065,0.004775096322212567,0.05940560965253425,0.08718324439800679,0.1637093327208454,0.009902103108708302
hsa_full_unemployment_gap_baseline_annual_q4_20260702_115649,hsa_full,unemployment_gap,baseline,unrestricted,log100_centered10,quarterly_interpolated,,,,0.08102981358621747,0.014707941733941327,0.1488974068923944,0.02871824047243219,0.002989679977572485,0.05339774723001073,0.08681671487410438,0.1315530564564307,0.004099582307842057
hsa_full_unemployment_gap_baseline_annual_q4_20260702_200618,hsa_full,unemployment_gap,baseline,unrestricted,log100_centered10,annual_q4,,,,0.07977207357707418,0.011643440349331183,0.14664441608623138,0.029272948075638697,0.004145173822093753,0.05483327260944971,0.08667860170317536,0.1291984379141764,0.0031364726594801523
hsa_full_unemployment_gap_baseline_restricted_kappa_20260623_001557,hsa_full,unemployment_gap,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,,,,0.07655548852776327,-0.011378184522843709,0.17381192196604825,0.018312380744689615,-0.02627132635618266,0.052034101229142704,0.08508651961803773,0.11803965029771675,0.02822303393251741
hsa_full_unemployment_gap_core_baseline_20260709_161740,hsa_full,unemployment_gap_core,baseline,unrestricted,log100_centered10,quarterly_interpolated,,,,0.06157441594061933,0.021673089234386236,0.1014212538555605,0.025296564891840276,0.007792447053061177,0.043565068289600085,0.06432775679211324,0.13051875462564935,-0.0016352982813641137
hsa_full_unemployment_gap_core_baseline_annual_q4_20260709_150310,hsa_full,unemployment_gap_core,baseline,unrestricted,log100_centered10,annual_q4,,,,0.058615138260803154,0.02501502153802486,0.09462420874066492,0.022548151831261052,0.008188890122332175,0.037553959770139055,0.06593353679454844,0.11040914839661209,-0.0011156395134567683
hsa_full_unemployment_gap_core_baseline_restricted_kappa_20260709_152301,hsa_full,unemployment_gap_core,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,,,,0.07164634490017886,0.02980527195706879,0.11357616867899767,0.01968708472901188,0.005407978643462029,0.03376391153805211,0.07373878652359821,0.13424791761929292,0.013389117817924982
hsa_full_unemployment_gap_core_baseline_restricted_kappa_t_20260709_154305,hsa_full,unemployment_gap_core,baseline,restricted_kappa_t,log100_centered10,quarterly_interpolated,,,,0.07164634490017886,0.02980527195706879,0.11357616867899767,0.01968708472901188,0.005407978643462029,0.03376391153805211,0.07373878652359821,0.13424791761929292,0.013389117817924982
hsa_full_unemployment_gap_core_end_2019_baseline_20260709_174120,hsa_full,unemployment_gap_core_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,,,,0.06170145538399737,0.02084673228286564,0.10131210727035483,0.024960359046456847,0.007220429934905751,0.04238596353443349,0.06770130455542332,0.1347496378971751,-0.0008888852371003967
