data_spec,prior,parameter,mean,median,ci_2.5,ci_97.5,p_gt_0,p_lt_0,conclusion
unemployment_gap,baseline,alpha,0.6577146518731218,0.6608110079938059,0.5494211196201224,0.7578497606769006,1.0,0.0,
unemployment_gap,baseline,kappa_0,0.07574055837183429,0.08931399703420022,-0.36729841383541106,0.36646623893862007,0.7,0.3,
unemployment_gap,baseline,delta,-5.6308932395560354e-05,-9.156981185682643e-05,-0.0016572990900074662,0.0021052168184222016,0.475,0.525,
unemployment_gap,baseline,rho_1,1.8133950688514595,1.8142125937581581,1.713808642289736,1.9008665049052709,1.0,0.0,
unemployment_gap,baseline,rho_2,-0.8168465175180352,-0.8150431976325252,-0.904655384526517,-0.7164520569022479,0.0,1.0,
unemployment_gap,baseline,sigma_e,0.6667792360813349,0.6589242807336725,0.6003425276844596,0.7330374285860881,1.0,0.0,
unemployment_gap,baseline,sigma_zeta,0.5877105432263638,0.5907137849126904,0.5293237437225586,0.671845635485161,1.0,0.0,
unemployment_gap,baseline,sigma_u,0.5017168537895756,0.5122582777588864,0.4005151923558845,0.59367070975165,1.0,0.0,
unemployment_gap,baseline,sigma_eps,0.3802980447460399,0.3805699951359535,0.3130394352584556,0.46218155708988634,1.0,0.0,
unemployment_gap,baseline,sigma_N,0.3044412819542683,0.3028070160885334,0.256653797771192,0.35914947848825046,1.0,0.0,
unemployment_gap,weak,alpha,0.6432194103525501,0.6342551485284135,0.5566912371989168,0.7305551751315437,1.0,0.0,
unemployment_gap,weak,kappa_0,-0.6887270575484884,-0.7052507603940301,-1.171288580171247,-0.18011651509573046,0.0,1.0,
unemployment_gap,weak,delta,0.004147957729461969,0.004464769507122468,0.001455933700922164,0.0066370969116770605,1.0,0.0,
unemployment_gap,weak,rho_1,1.9052305112236545,1.9078810220605305,1.8456847584132112,1.972651830129937,1.0,0.0,
unemployment_gap,weak,rho_2,-0.9085195841540834,-0.911016159078478,-0.9744584145056275,-0.8493606777883991,0.0,1.0,
unemployment_gap,weak,sigma_e,0.6304797167188074,0.6286199689307462,0.5642563049814996,0.6991015009766594,1.0,0.0,
unemployment_gap,weak,sigma_zeta,0.5974754045327101,0.5974892457234406,0.5352606892310747,0.6788436586048291,1.0,0.0,
unemployment_gap,weak,sigma_u,0.4045495585094912,0.4082878869297194,0.3272985273822362,0.45623617520412474,1.0,0.0,
unemployment_gap,weak,sigma_eps,0.30220128208225594,0.29839743050735495,0.2446307657278551,0.3654172593883636,1.0,0.0,
unemployment_gap,weak,sigma_N,0.23082345651717132,0.22447047395467382,0.18926715609505218,0.270205899309794,1.0,0.0,
unemployment_gap,tight,alpha,0.6169594928928188,0.6286788139737902,0.5138946835594485,0.7148591203358381,1.0,0.0,
unemployment_gap,tight,kappa_0,0.04593501040083546,0.044079292792855565,-0.13598966944852292,0.2704983099287129,0.65,0.35,
unemployment_gap,tight,delta,5.244568861327917e-05,0.00012246371906718387,-0.0009158163291038185,0.0008656963429091341,0.6,0.4,
unemployment_gap,tight,rho_1,0.594335772384716,0.5905761449287452,0.3941057198594694,0.7615492872216286,1.0,0.0,
unemployment_gap,tight,rho_2,-0.32447539025958233,-0.33619384224483156,-0.5106612484331147,-0.01262318089122539,0.025,0.975,
unemployment_gap,tight,sigma_e,0.6662114800536016,0.66355054694443,0.6125762780511059,0.7457760686887674,1.0,0.0,
unemployment_gap,tight,sigma_zeta,0.5843051392119274,0.5804829880274516,0.5317047578042763,0.6505386309602307,1.0,0.0,
unemployment_gap,tight,sigma_u,0.5610304887594577,0.558404823388385,0.4782140499615783,0.653858057216989,1.0,0.0,
unemployment_gap,tight,sigma_eps,1.2544642951365153,1.2520493664363548,1.0921396599535182,1.4156528488661362,1.0,0.0,
unemployment_gap,tight,sigma_N,0.5286763359676258,0.5228830353079414,0.43410720914305234,0.6205809592230853,1.0,0.0,
unemployment_gap,all,delta_robustness,,,,,,,sensitive
