"date","GDPC1_original_series","GDPC1_transformed_series","trend","cycle","cycle_conf_int_lower_bound","cycle_conf_int_upper_bound","trend_conf_int_lower_bound","trend_conf_int_upper_bound"
"1962-04-01","3792.149","824.0687866210938","822.3686171776944","1.7001694433992978","-0.8278835533649416","4.228222440163537","819.8405641809302","824.8966701744587"
"1962-07-01","3838.776","825.2908935546875","823.5102853753286","1.78060817935886","-0.8044996001640474","4.3657159588817676","820.9251775958057","826.0953931548515"
"1962-10-01","3851.421","825.6197509765625","824.6019180619701","1.0178329145924405","-1.569273886982269","3.6049397161671504","822.0148112603954","827.1890248635448"
"1963-01-01","3893.482","826.7059326171875","825.7051606537512","1.0007719634362204","-1.619965879159433","3.621509806031874","823.0844228111556","828.3258984963469"
"1963-04-01","3937.183","827.8220825195312","826.8161514697903","1.0059310497410288","-1.6407970811756891","3.6526591806577464","824.1694233388736","829.462879600707"
"1963-07-01","4023.755","829.9970703125","828.0778623692249","1.919207943275077","-0.7761651299533485","4.614581016503503","825.3824892959965","830.7732354424534"
"1963-10-01","4050.147","830.6508178710938","829.280933226419","1.3698846446746604","-1.2979882332314332","4.037757522580754","826.6130603485129","831.9488061043252"
"1964-01-01","4135.553","832.7376098632812","830.5964743518014","2.141135511479834","-0.5976897686168101","4.879960791576478","827.8576490717047","833.335299631898"
"1964-04-01","4180.592","833.82080078125","831.9392708279208","1.8815299533291696","-0.7829550984279641","4.5460150050863035","829.2747857761638","834.6037558796779"
"1964-07-01","4245.918","835.371337890625","833.3328722328149","2.0384656578100895","-0.6358153171939365","4.712746632814115","830.6585912578108","836.007153207819"
"1964-10-01","4259.046","835.6800537109375","834.6123592824356","1.0676944285018541","-1.380859293866419","3.516248150870127","832.1638055600673","837.0609130048039"
"1965-01-01","4362.111","838.0711059570312","836.0261992966911","2.044906660340237","0.3122516596693019","3.7775616610111715","834.2935442960202","837.758854297362"
"1965-04-01","4417.225","839.3267211914062","837.4763980580049","1.8503231334013523","0.14369380635446327","3.556952460448241","835.7697687309579","839.1830273850518"
"1965-07-01","4515.427","841.5255126953125","839.0319361790669","2.493576516245631","0.8466664309537939","4.140486601537468","837.385026093775","840.6788462643588"
"1965-10-01","4619.458","843.8032836914062","840.7205647743175","3.082718917088743","1.41497962886387","4.750458205313616","839.0528254860926","842.3883040625424"
"1966-01-01","4731.888","846.2079467773438","842.566330806309","3.641615971034795","1.973047477740058","5.310184464329533","840.8977623130143","844.2348992996037"
"1966-04-01","4748.046","846.548828125","844.262866820206","2.285961304793944","0.5680337455310043","4.003888864056885","842.544939260943","845.980794379469"
"1966-07-01","4788.254","847.39208984375","845.8169184842949","1.575171359455077","-0.2501583362496853","3.400501055159839","843.9915887885901","847.6422481799997"
"1966-10-01","4827.537","848.2091674804688","847.2553068006707","0.9538606797980674","-0.8437731144486348","2.7514944740447698","845.457673006424","849.0529405949175"
"1967-01-01","4870.299","849.091064453125","848.6042569742642","0.48680747886075765","-1.1692936020337499","2.142908559755265","846.9481558933697","850.2603580551587"
"1967-04-01","4873.287","849.1524047851562","849.731765462021","-0.5793606768648282","-2.1171992356523885","0.9584778819227323","848.1939269032334","851.2696040208086"
"1967-07-01","4919.392","850.093994140625","850.7492375057452","-0.6552433651202699","-2.203230874638381","0.8927441443978411","849.2012499962271","852.2972250152633"
"1967-10-01","4956.477","850.8450317382812","851.6857350718753","-0.840703333594112","-2.1418096704106806","0.46040300322245653","850.3846287350588","852.9868414086919"
"1968-01-01","5057.553","852.8638305664062","852.7505256930365","0.11330487336975666","-1.1822167938118247","1.4088265405513378","851.4550040258549","854.046047360218"
