prior,model,data_spec,n_transform,parameter,mean,median,ci_2.5,ci_97.5,p_gt_0,p_lt_0,conclusion
tight,hsa_steady,output_gap_bn_core,log100_centered10,sigma_eps,0.059615976029932155,0.05586986856889302,0.04307433466888482,0.12520011436773953,1.0,0.0,
tight,hsa_steady,output_gap_bn_core,log100_centered10,sigma_N,0.04125142773343722,0.04079533818731115,0.03368466309789072,0.05148203975780887,1.0,0.0,
all,,output_gap_bn_core,,delta_robustness,,,,,,,robust
baseline,hsa_dynamic,output_gap_bn_core,log100_centered10,alpha,0.7691954145025506,0.769036543036593,0.6776751164241884,0.8599562251358887,1.0,0.0,
baseline,hsa_dynamic,output_gap_bn_core,log100_centered10,kappa,0.03550423729662538,0.03489586082210089,-0.009908209433603744,0.0812635048093261,0.94125,0.05875,
baseline,hsa_dynamic,output_gap_bn_core,log100_centered10,theta,-0.03952143318638109,-0.040072239198274504,-0.08655158886134079,0.009377433251600675,0.054375,0.945625,
baseline,hsa_dynamic,output_gap_bn_core,log100_centered10,rho_1,1.7663281007264013,1.7684868678650556,1.6587018065431591,1.8662733666434754,1.0,0.0,
baseline,hsa_dynamic,output_gap_bn_core,log100_centered10,rho_2,-0.7806104766297891,-0.7829964302357404,-0.8776723255884962,-0.6753604146523012,0.0,1.0,
baseline,hsa_dynamic,output_gap_bn_core,log100_centered10,sigma_e,0.31501537818627795,0.31362753523336545,0.27679152827343023,0.3593965173688752,1.0,0.0,
baseline,hsa_dynamic,output_gap_bn_core,log100_centered10,sigma_zeta,0.569298916487448,0.5661570765835748,0.50361464773354,0.646111897604832,1.0,0.0,
baseline,hsa_dynamic,output_gap_bn_core,log100_centered10,sigma_u,0.048707514745875216,0.048487543462035154,0.040663482113868075,0.05826349530181632,1.0,0.0,
baseline,hsa_dynamic,output_gap_bn_core,log100_centered10,sigma_eps,0.03367048747562232,0.033396352969889125,0.027121564958844758,0.04180809790558712,1.0,0.0,
baseline,hsa_dynamic,output_gap_bn_core,log100_centered10,sigma_N,0.023880880177984332,0.023679872629797524,0.019638241651954123,0.029226387189332643,1.0,0.0,
weak,hsa_dynamic,output_gap_bn_core,log100_centered10,alpha,0.7777269292384353,0.7775243309820659,0.6770616576166472,0.878575179815312,1.0,0.0,
weak,hsa_dynamic,output_gap_bn_core,log100_centered10,kappa,0.035728091378778436,0.03591383385405193,-0.014583585410580557,0.08495049251479882,0.9178125,0.0821875,
weak,hsa_dynamic,output_gap_bn_core,log100_centered10,theta,-0.03683976722157468,-0.038799389055094585,-0.09365587937292276,0.030781743843127648,0.1196875,0.8803125,
weak,hsa_dynamic,output_gap_bn_core,log100_centered10,rho_1,1.8380949025609963,1.8395273354154038,1.7265136306712046,1.9391353022741291,1.0,0.0,
weak,hsa_dynamic,output_gap_bn_core,log100_centered10,rho_2,-0.8497844147243481,-0.8511529532780182,-0.9469196037367487,-0.742285167822768,0.0,1.0,
weak,hsa_dynamic,output_gap_bn_core,log100_centered10,sigma_e,0.33037565547351583,0.32889015586763015,0.2909775760579241,0.377435294459394,1.0,0.0,
weak,hsa_dynamic,output_gap_bn_core,log100_centered10,sigma_zeta,0.5815638883460417,0.5794179544315077,0.5144498024109334,0.6611069362532868,1.0,0.0,
weak,hsa_dynamic,output_gap_bn_core,log100_centered10,sigma_u,0.05092880664460475,0.05046708736486396,0.04281888816019069,0.060840499910018615,1.0,0.0,
weak,hsa_dynamic,output_gap_bn_core,log100_centered10,sigma_eps,0.03750406807503609,0.03715652057855188,0.030536425879522204,0.04599929951414555,1.0,0.0,
weak,hsa_dynamic,output_gap_bn_core,log100_centered10,sigma_N,0.024846620080692227,0.024686110412001284,0.020274393045686907,0.030667715088067652,1.0,0.0,
tight,hsa_dynamic,output_gap_bn_core,log100_centered10,alpha,0.7322490217693814,0.7328637757342811,0.6409485255795083,0.8241387856800331,1.0,0.0,
tight,hsa_dynamic,output_gap_bn_core,log100_centered10,kappa,0.02909931194783292,0.029763069795426887,-0.02004112225093254,0.07864461726339254,0.868125,0.131875,
tight,hsa_dynamic,output_gap_bn_core,log100_centered10,theta,-0.03782762174792814,-0.0378191731516177,-0.0883794807941499,0.010974024588477014,0.0634375,0.9365625,
tight,hsa_dynamic,output_gap_bn_core,log100_centered10,rho_1,1.1914724878763392,1.1924632853767405,1.0180054229119457,1.356205550290835,1.0,0.0,
tight,hsa_dynamic,output_gap_bn_core,log100_centered10,rho_2,-0.22725120437568225,-0.22833325016221884,-0.38631874035872077,-0.06242594111656102,0.0003125,0.9996875,
tight,hsa_dynamic,output_gap_bn_core,log100_centered10,sigma_e,0.35699660869666033,0.35556215358869514,0.31601261405244907,0.4042640488981803,1.0,0.0,
tight,hsa_dynamic,output_gap_bn_core,log100_centered10,sigma_zeta,0.5885380728059708,0.5865641723640805,0.521368595082838,0.6645861770273318,1.0,0.0,
tight,hsa_dynamic,output_gap_bn_core,log100_centered10,sigma_u,0.08384965401659754,0.08317939981576755,0.06981456978984876,0.10056928024041145,1.0,0.0,
tight,hsa_dynamic,output_gap_bn_core,log100_centered10,sigma_eps,0.060780498039988355,0.05990474418330828,0.04604345344470993,0.08039014205750401,1.0,0.0,
tight,hsa_dynamic,output_gap_bn_core,log100_centered10,sigma_N,0.04178913613131416,0.041491947060107975,0.03404904136025344,0.05130788341147973,1.0,0.0,
all,,output_gap_bn_core,,theta_robustness,,,,,,,robust
