severity,parameter,warning
warning,kappa_t_start,bulk ESS 192.6 < 400
warning,rho_1,R-hat 1.043 > 1.01
warning,rho_1,bulk ESS 21.6 < 400
warning,rho_1,tail ESS 19.7 < 400
warning,n,R-hat 1.032 > 1.01
warning,n,bulk ESS 40.3 < 400
warning,n,tail ESS 22.1 < 400
warning,sigma_u,R-hat 1.016 > 1.01
warning,sigma_u,bulk ESS 75.6 < 400
warning,sigma_u,tail ESS 35.3 < 400
warning,sigma_eps,R-hat 1.054 > 1.01
warning,sigma_eps,bulk ESS 21.6 < 400
warning,sigma_eps,tail ESS 19.8 < 400
warning,sigma_N,bulk ESS 132.9 < 400
warning,sigma_N,tail ESS 139.6 < 400
