run,model,data_spec,prior_spec,constraint_spec,n_transform,competition_measurement_frequency,kappa_mean,kappa_ci_2.5,kappa_ci_97.5,kappa_0_mean,kappa_0_ci_2.5,kappa_0_ci_97.5,delta_mean,delta_ci_2.5,delta_ci_97.5,kappa_t_overall_mean,kappa_t_start_mean,kappa_t_end_mean
hsa_dynamic_inv_markup_end_2019_baseline_20260623_021825,hsa_dynamic,inv_markup_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.008018322082786682,-0.22374595144011272,0.23717762650389004,,,,,,,,,
hsa_dynamic_inv_markup_exclude_covid_baseline_20260623_021205,hsa_dynamic,inv_markup_exclude_covid,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.00926076168591941,-0.22041024519482982,0.24726665796550895,,,,,,,,,
hsa_dynamic_inv_markup_full_baseline_20260623_020507,hsa_dynamic,inv_markup_full,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.011536568494128279,-0.21740008220952822,0.2396860752338457,,,,,,,,,
hsa_dynamic_inv_markup_post_2008_baseline_20260623_021132,hsa_dynamic,inv_markup_post_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.1915990358099478,-0.1800912815040558,0.5619266449217035,,,,,,,,,
hsa_dynamic_inv_markup_pre_2008_baseline_20260623_020835,hsa_dynamic,inv_markup_pre_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.036152442755041446,-0.1768058710905903,0.24999987952598096,,,,,,,,,
hsa_dynamic_inv_markup_start_1988_baseline_20260623_021536,hsa_dynamic,inv_markup_start_1988,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.019677379235863504,-0.22482703210161453,0.2730098376113282,,,,,,,,,
hsa_dynamic_labor_share_gap_hp_baseline_20260702_073654,hsa_dynamic,labor_share_gap_hp,baseline,unrestricted,log100_centered10,quarterly_interpolated,-0.0025386918122451384,-0.16433147668149933,0.15677219310255278,,,,,,,,,
hsa_dynamic_labor_share_gap_hp_baseline_20260702_144631,hsa_dynamic,labor_share_gap_hp,baseline,unrestricted,log100_centered10,quarterly_interpolated,-0.0025386918122451384,-0.16433147668149933,0.15677219310255278,,,,,,,,,
hsa_dynamic_labor_share_gap_hp_baseline_annual_q4_20260702_195309,hsa_dynamic,labor_share_gap_hp,baseline,unrestricted,log100_centered10,annual_q4,-0.02604968745829112,-0.18112885331030876,0.13852619720078715,,,,,,,,,
hsa_dynamic_labor_share_gap_hp_baseline_restricted_kappa_20260623_112522,hsa_dynamic,labor_share_gap_hp,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,0.06433099512837182,0.0021097540392582444,0.18402471501043374,,,,,,,,,
hsa_dynamic_output_gap_bn_baseline_20260702_071958,hsa_dynamic,output_gap_bn,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.05842165969645929,-0.023472440272400953,0.13980438801070222,,,,,,,,,
hsa_dynamic_output_gap_bn_baseline_20260702_140847,hsa_dynamic,output_gap_bn,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.05842165969645929,-0.023472440272400953,0.13980438801070222,,,,,,,,,
hsa_dynamic_output_gap_bn_baseline_annual_q4_20260702_193349,hsa_dynamic,output_gap_bn,baseline,unrestricted,log100_centered10,annual_q4,0.06284204013185007,-0.019333067825790307,0.14552240467039837,,,,,,,,,
hsa_dynamic_output_gap_bn_baseline_restricted_kappa_20260623_000227,hsa_dynamic,output_gap_bn,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,0.09138937177281271,0.012548715495504698,0.18746349682957367,,,,,,,,,
hsa_dynamic_output_gap_bn_core_baseline_20260709_163706,hsa_dynamic,output_gap_bn_core,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.03550423729662538,-0.009908209433603744,0.0812635048093261,,,,,,,,,
