prior,model,data_spec,n_transform,parameter,mean,median,ci_2.5,ci_97.5,p_gt_0,p_lt_0,conclusion
baseline,ces,unemployment_gap_core,log100_centered10,alpha,0.7546283320836287,0.7548459759628752,0.6753801023835222,0.831566468902704,1.0,0.0,
baseline,ces,unemployment_gap_core,log100_centered10,kappa,0.03938891347082609,0.03929211320297346,0.006705957839002623,0.0721754559831928,0.990625,0.009375,
baseline,ces,unemployment_gap_core,log100_centered10,sigma_e,0.32806528759792586,0.3268340787585209,0.28946429046359284,0.3707091305757267,1.0,0.0,
baseline,ces,unemployment_gap_core,log100_centered10,sigma_zeta,0.5978240156084258,0.5950904025203708,0.5279415185927325,0.6809836797228277,1.0,0.0,
weak,ces,unemployment_gap_core,log100_centered10,alpha,0.7639268212290111,0.7644942746555877,0.6869344067367218,0.8392719805666244,1.0,0.0,
weak,ces,unemployment_gap_core,log100_centered10,kappa,0.039997613051581574,0.04024910524874411,0.01070058279253612,0.06986004929096891,0.9965625,0.0034375,
weak,ces,unemployment_gap_core,log100_centered10,sigma_e,0.3049537067661953,0.3040981653476944,0.26819916763465246,0.34834927399058224,1.0,0.0,
weak,ces,unemployment_gap_core,log100_centered10,sigma_zeta,0.5961338025015981,0.5945786535223774,0.5264041585223248,0.6769086713518734,1.0,0.0,
tight,ces,unemployment_gap_core,log100_centered10,alpha,0.7181444919873812,0.7182827641149362,0.6349042273268208,0.8016075329527456,1.0,0.0,
tight,ces,unemployment_gap_core,log100_centered10,kappa,0.0396895695276406,0.03968217710002428,0.003441966906465489,0.07620578285409972,0.9834375,0.0165625,
tight,ces,unemployment_gap_core,log100_centered10,sigma_e,0.37201248070868703,0.37115651772745417,0.3283190673204374,0.422094210245745,1.0,0.0,
tight,ces,unemployment_gap_core,log100_centered10,sigma_zeta,0.5981457756410055,0.5966300775785519,0.5269113243205159,0.6770054887675,1.0,0.0,
baseline,hsa_steady,unemployment_gap_core,log100_centered10,alpha,0.7940524687962334,0.7932940380459826,0.7154665416049725,0.8733692449676499,1.0,0.0,
baseline,hsa_steady,unemployment_gap_core,log100_centered10,kappa_0,0.05143212280079951,0.051351689279976936,0.01514456491673509,0.08791275801742449,0.9965625,0.0034375,
baseline,hsa_steady,unemployment_gap_core,log100_centered10,delta,0.022661862455434237,0.02213992873912722,0.009864522634375282,0.03929876932682573,1.0,0.0,
baseline,hsa_steady,unemployment_gap_core,log100_centered10,rho_1,1.8013976806959449,1.8021237087045896,1.7070206461872262,1.8928598991930414,1.0,0.0,
baseline,hsa_steady,unemployment_gap_core,log100_centered10,rho_2,-0.8152475257474834,-0.8156757852810194,-0.9045391084146461,-0.7222457410784232,0.0,1.0,
baseline,hsa_steady,unemployment_gap_core,log100_centered10,sigma_e,0.31159579687042543,0.3104446139024587,0.27619327112906195,0.35532563384913435,1.0,0.0,
baseline,hsa_steady,unemployment_gap_core,log100_centered10,sigma_zeta,0.596055716267277,0.593078575339838,0.5260460974252298,0.6814960379325821,1.0,0.0,
baseline,hsa_steady,unemployment_gap_core,log100_centered10,sigma_u,0.04452559529160147,0.04415944126325366,0.03709805430699771,0.053419215410328055,1.0,0.0,
baseline,hsa_steady,unemployment_gap_core,log100_centered10,sigma_eps,0.02932303403235463,0.02911162837210203,0.023627755720374656,0.03641624806955425,1.0,0.0,
baseline,hsa_steady,unemployment_gap_core,log100_centered10,sigma_N,0.023050511881559665,0.022872254909223958,0.019285454970899597,0.02782596425237124,1.0,0.0,
weak,hsa_steady,unemployment_gap_core,log100_centered10,alpha,0.8089295642834395,0.809596453393097,0.733262122676952,0.8851753299837997,1.0,0.0,
weak,hsa_steady,unemployment_gap_core,log100_centered10,kappa_0,0.06561955430839714,0.05843941259117623,0.009800652234976743,0.179624819446947,0.9871875,0.0128125,
weak,hsa_steady,unemployment_gap_core,log100_centered10,delta,0.037791811940079356,0.031233109343900695,0.0138870052091047,0.10745619463799154,1.0,0.0,
