severity,parameter,warning
warning,alpha,R-hat 1.159 > 1.01
warning,alpha,bulk ESS 112.0 < 400
warning,kappa_0,R-hat 1.045 > 1.01
warning,kappa_0,bulk ESS 365.2 < 400
warning,theta_0,R-hat 2.849 > 1.01
warning,theta_0,bulk ESS 23.2 < 400
warning,theta_0,tail ESS 94.6 < 400
warning,gamma,bulk ESS 97.0 < 400
warning,gamma,tail ESS 226.4 < 400
warning,kappa_t_mean,R-hat 1.047 > 1.01
warning,kappa_t_mean,bulk ESS 364.4 < 400
warning,kappa_t_start,R-hat 1.055 > 1.01
warning,kappa_t_mid,R-hat 1.048 > 1.01
warning,kappa_t_mid,bulk ESS 379.6 < 400
warning,kappa_t_end,R-hat 1.033 > 1.01
warning,theta_t_mean,R-hat 2.920 > 1.01
warning,theta_t_mean,bulk ESS 23.9 < 400
warning,theta_t_mean,tail ESS 93.1 < 400
warning,theta_t_start,R-hat 3.227 > 1.01
warning,theta_t_start,bulk ESS 32.7 < 400
warning,theta_t_start,tail ESS 92.4 < 400
warning,theta_t_mid,R-hat 2.899 > 1.01
warning,theta_t_mid,bulk ESS 23.5 < 400
warning,theta_t_mid,tail ESS 93.3 < 400
warning,theta_t_end,R-hat 2.456 > 1.01
warning,theta_t_end,bulk ESS 26.3 < 400
warning,theta_t_end,tail ESS 92.6 < 400
warning,rho_1,R-hat 1.017 > 1.01
warning,rho_1,bulk ESS 148.1 < 400
warning,rho_2,bulk ESS 347.1 < 400
warning,n,R-hat 1.388 > 1.01
warning,sigma_e,R-hat 1.039 > 1.01
warning,sigma_e,bulk ESS 198.3 < 400
warning,sigma_u,R-hat 1.011 > 1.01
warning,sigma_eps,R-hat 1.022 > 1.01
warning,sigma_eps,bulk ESS 188.0 < 400
